"Household Unique Sequential Number","Final Weight Based on Projection (provincial projections)","Survey Month","Survey Year","C05-Age as of Last Birthday","C11 - Location of Work (Province, Municipality)","New Employment Criteria (jul 05, 2005)"
000020,001225.7446,05,2024,53,2811,1
000020,001072.5492,05,2024,17,2811,1
000021,001239.8508,05,2024,62,2811,1
000021,001225.7446,05,2024,53,2811,1
000022,001205.1227,05,2024,84,"    ",3
000022,001696.0583,05,2024,70,"    ",3
000022,001811.1518,05,2024,32,2811,1
000022,001659.3259,05,2024,31,2811,1
000022,002587.8431,05,2024,05,"    "," "
000023,001205.1227,05,2024,71,2811,1
000023,001617.4097,05,2024,64,2811,1
000024,001239.8508,05,2024,55,2811,1
000024,001225.7446,05,2024,46,2811,1
000024,001635.4186,05,2024,21,"    ",3
000024,001072.5492,05,2024,18,"    ",3
000025,001778.7834,05,2024,41,2811,1
000025,002138.4820,05,2024,38,2811,1
000025,001072.5492,05,2024,16,2811,1
000026,001460.4466,05,2024,48,2811,1
000026,002138.4820,05,2024,44,2811,1
000026,001811.1518,05,2024,29,2820,1
000026,001659.3259,05,2024,25,2811,1
000026,001636.6569,05,2024,11,"    "," "
000027,001205.1227,05,2024,72,"    ",3
000027,001205.1227,05,2024,66,2811,1
000028,001460.4466,05,2024,51,2811,1
000028,001225.7446,05,2024,49,2811,1
000028,001072.5492,05,2024,24,2820,1
000028,001072.5492,05,2024,19,"    ",3
000029,001778.7834,05,2024,42,2811,1
000029,001635.4186,05,2024,19,2811,1
000029,001072.5492,05,2024,18,"    ",3
000029,001635.4186,05,2024,15,"    ",3
000029,002138.4820,05,2024,43,"    "," "
000030,001811.1518,05,2024,30,2811,1
000030,002587.8431,05,2024,11,"    "," "
000030,001636.6569,05,2024,08,"    "," "
000030,001659.3259,05,2024,32,"    "," "
000031,001460.4466,05,2024,50,2811,1
000031,001225.7446,05,2024,52,2811,1
000032,001811.1518,05,2024,27,2811,1
000032,001659.3259,05,2024,25,2811,1
000033,001811.1518,05,2024,32,2811,1
000033,001659.3259,05,2024,25,2811,1
000033,001636.6569,05,2024,07,"    "," "
000034,001239.8508,05,2024,55,2811,1
000034,001225.7446,05,2024,54,2811,1
000035,001205.1227,05,2024,66,"    ",3
000035,001696.0583,05,2024,67,"    ",3
000035,002138.4820,05,2024,40,2811,1
000035,002587.8431,05,2024,13,"    "," "
000035,001636.6569,05,2024,05,"    "," "
000035,001778.7834,05,2024,43,"    "," "
000036,001239.8508,05,2024,60,2811,1
000036,001696.0583,05,2024,70,"    ",3
000037,001239.8508,05,2024,62,2811,1
000037,001225.7446,05,2024,46,2811,1
000037,001635.4186,05,2024,19,"    ",3
000037,001696.0583,05,2024,67,2811,1
000037,001659.3259,05,2024,33,2811,1
000038,001239.8508,05,2024,57,2811,1
000038,001617.4097,05,2024,59,2811,1
000038,001811.1518,05,2024,26,2811,1
000038,001635.4186,05,2024,23,2811,1
000038,001072.5492,05,2024,21,"    ",3
000038,001072.5492,05,2024,16,"    ",3
000039,001778.7834,05,2024,41,2811,1
000039,001225.7446,05,2024,47,"    ",3
000039,001072.5492,05,2024,18,"    ",3
000039,001072.5492,05,2024,16,"    ",3
000039,001636.6569,05,2024,09,"    "," "
000040,001225.7446,05,2024,51,2811,1
000040,001811.1518,05,2024,34,"    ",3
000040,001072.5492,05,2024,17,"    ",3
000040,001636.6569,05,2024,12,"    "," "
000040,002587.8431,05,2024,08,"    "," "
000040,001696.0583,05,2024,68,2811,1
000041,001225.6374,05,2024,57,2812,1
000041,001598.8680,05,2024,55,2812,1
000042,001443.7043,05,2024,48,2812,1
000042,001211.6929,05,2024,49,2812,1
000042,001616.6705,05,2024,24,"    ",3
000042,001616.6705,05,2024,22,"    ",3
000043,001191.3074,05,2024,73,"    ",3
000043,001676.6150,05,2024,71,"    ",3
000043,001225.6374,05,2024,59,2812,1
000043,001211.6929,05,2024,47,2812,1
000044,001225.6374,05,2024,60,2812,1
000044,001598.8680,05,2024,58,2812,1
000044,001640.3037,05,2024,33,2812,1
000045,001616.6705,05,2024,21,2812,1
000045,001616.6705,05,2024,19,"    ",3
000045,001060.2537,05,2024,18,"    ",3
000045,002113.9668,05,2024,42,"    "," "
000046,001790.3890,05,2024,27,2812,1
000046,001640.3037,05,2024,25,2812,1
000047,001225.6374,05,2024,63,2812,1
000047,001598.8680,05,2024,63,2812,1
000048,001758.3917,05,2024,43,2812,1
000048,002113.9668,05,2024,42,2812,1
000048,001060.2537,05,2024,21,"    ",3
000048,001616.6705,05,2024,17,"    ",3
000048,001060.2537,05,2024,15,"    ",3
000048,002558.1765,05,2024,12,"    "," "
000049,001225.6374,05,2024,62,2812,1
000049,001598.8680,05,2024,57,2812,1
000049,001060.2537,05,2024,18,"    ",3
000050,001443.7043,05,2024,54,2812,1
000050,001211.6929,05,2024,49,2812,1
000050,001616.6705,05,2024,20,2812,1
000050,001060.2537,05,2024,16,"    ",3
000050,001617.8946,05,2024,12,2812," "
000050,002558.1765,05,2024,06,"    "," "
000051,001616.6705,05,2024,23,2812,1
000051,001060.2537,05,2024,22,2812,1
000051,001617.8946,05,2024,05,"    "," "
000051,001617.8946,05,2024,03,"    "," "
000052,001191.3074,05,2024,65,2812,1
000052,001758.3917,05,2024,37,2812,1
000052,001758.3917,05,2024,39,2812,1
000053,001758.3917,05,2024,41,2812,1
000053,001211.6929,05,2024,46,2812,1
000053,001060.2537,05,2024,18,"    ",3
000053,001617.8946,05,2024,14,"    "," "
000054,001225.6374,05,2024,64,2812,1
000054,001758.3917,05,2024,39,2812,1
000054,001640.3037,05,2024,33,"    ",3
000054,001617.8946,05,2024,06,"    "," "
000054,001617.8946,05,2024,04,"    "," "
000055,001443.7043,05,2024,45,2812,1
000055,001616.6705,05,2024,18,2812,1
000055,001617.8946,05,2024,14,"    "," "
000056,001758.3917,05,2024,35,2812,1
000056,002113.9668,05,2024,41,2812,1
000056,002558.1765,05,2024,08,"    "," "
000056,001617.8946,05,2024,06,"    "," "
000056,001617.8946,05,2024,02,"    "," "
000057,001790.3890,05,2024,34,2812,1
000057,001640.3037,05,2024,30,2812,1
000058,001191.3074,05,2024,73,2812,1
000058,001676.6150,05,2024,74,2812,1
000058,001758.3917,05,2024,38,2812,1
000058,002113.9668,05,2024,36,"    ",3
000058,001617.8946,05,2024,12,"    "," "
000058,001617.8946,05,2024,08,"    "," "
000058,001617.8946,05,2024,07,"    "," "
000059,001443.7043,05,2024,45,2812,1
000059,001060.2537,05,2024,20,"    ",3
000060,001244.0139,05,2024,59,"    ",3
000060,001622.8406,05,2024,60,"    ",3
000061,001465.3504,05,2024,45,2812,1
000061,002145.6625,05,2024,39,2812,1
000061,001642.1524,05,2024,14,"    "," "
000062,001701.7533,05,2024,83,"    ",3
000063,001817.2332,05,2024,34,2812,1
000063,001664.8975,05,2024,34,2812,1
000063,001642.1524,05,2024,10,"    "," "
000063,002596.5324,05,2024,01,"    "," "
000064,001701.7533,05,2024,81,"    ",3
000064,002145.6625,05,2024,37,2812,1
000064,001640.9100,05,2024,16,"    ",3
000064,002596.5324,05,2024,13,"    "," "
000064,001642.1524,05,2024,08,"    "," "
000065,001244.0139,05,2024,63,2812,1
000065,001622.8406,05,2024,60,"    ",3
000065,001076.1506,05,2024,19,"    ",3
000065,001465.3504,05,2024,46,2812,1
000065,001784.7561,05,2024,35,2812,1
000065,001642.1524,05,2024,04,"    "," "
000065,001642.1524,05,2024,03,"    "," "
000066,001784.7561,05,2024,40,2812,1
000066,001664.8975,05,2024,32,2812,1
000066,001640.9100,05,2024,21,2802,1
000067,001076.1506,05,2024,19,"    ",3
000067,001076.1506,05,2024,18,"    ",3
000068,001701.7533,05,2024,76,"    ",3
000069,001622.8406,05,2024,57,2812,1
000069,001664.8975,05,2024,32,"    ",3
000069,001642.1524,05,2024,09,"    "," "
000069,001642.1524,05,2024,13,"    "," "
000070,001701.7533,05,2024,74,2812,1
000070,001465.3504,05,2024,47,2812,1
000070,001209.1692,05,2024,72,"    ",3
000071,001465.3504,05,2024,54,"    ",3
000072,001465.3504,05,2024,51,2812,1
000072,001229.8604,05,2024,51,2812,1
000072,001076.1506,05,2024,15,"    ",3
000073,001716.6672,05,2024,44,2815,1
000073,002063.8049,05,2024,36,2815,1
000073,001035.0951,05,2024,16,"    ",3
000073,001578.3088,05,2024,15,"    ",3
000073,001579.5039,05,2024,11,"    "," "
000073,001579.5039,05,2024,10,"    "," "
000073,001579.5039,05,2024,06,"    "," "
000073,001579.5039,05,2024,05,"    "," "
000074,001601.3812,05,2024,31,"    ",3
000074,001579.5039,05,2024,09,"    "," "
000074,001747.9052,05,2024,32,"    "," "
000075,001409.4469,05,2024,50,2815,1
000075,001182.9409,05,2024,46,2815,1
000075,001578.3088,05,2024,24,2812,1
000075,001035.0951,05,2024,22,2815,1
000075,001578.3088,05,2024,20,"    ",3
000075,001035.0951,05,2024,18,"    ",3
000075,001579.5039,05,2024,11,"    "," "
000076,001409.4469,05,2024,49,2815,1
000076,001182.9409,05,2024,53,2815,1
000076,001579.5039,05,2024,06,"    "," "
000076,002497.4740,05,2024,07,"    "," "
000076,001196.5545,05,2024,61,"    ",3
000077,001163.0391,05,2024,70,2815,1
000077,001636.8309,05,2024,67,2815,1
000077,001747.9052,05,2024,33,2805,1
000077,001747.9052,05,2024,29,2815,1
000077,001035.0951,05,2024,22,"    ",2
000077,002497.4740,05,2024,12,"    "," "
000078,001409.4469,05,2024,54,2815,1
000078,001182.9409,05,2024,53,2815,1
000078,001601.3812,05,2024,31,2815,1
000078,001578.3088,05,2024,19,"    ",3
000078,001747.9052,05,2024,31,2815,1
000078,001601.3812,05,2024,30,2815,1
000078,002497.4740,05,2024,01,"    "," "
000079,001716.6672,05,2024,35,2815,1
000079,001601.3812,05,2024,30,2815,1
000079,002497.4740,05,2024,03,"    "," "
000080,001163.0391,05,2024,85,"    ",3
000080,001636.8309,05,2024,75,"    ",3
000080,001716.6672,05,2024,44,2815,1
000080,001182.9409,05,2024,47,2815,1
000081,002063.8049,05,2024,42,2815,1
000081,001035.0951,05,2024,22,"    ",3
000081,001035.0951,05,2024,20,"    ",3
000081,001578.3088,05,2024,19,"    ",3
000081,001035.0951,05,2024,15,"    ",3
000081,002497.4740,05,2024,10,"    "," "
000081,001579.5039,05,2024,01,"    "," "
000082,001163.0391,05,2024,76,"    ",3
000082,001716.6672,05,2024,41,2815,1
000083,001163.0391,05,2024,65,2815,1
000083,001560.9288,05,2024,63,2815,1
000084,001196.5545,05,2024,55,2815,1
000084,001560.9288,05,2024,57,2815,1
000084,001578.3088,05,2024,24,2815,1
000084,001578.3088,05,2024,23,"    ",3
000084,001578.3088,05,2024,22,"    ",3
000084,001035.0951,05,2024,16,"    ",3
000085,001560.9288,05,2024,64,2815,1
000085,001747.9052,05,2024,27,"    ",2
000085,001636.8309,05,2024,76,"    ",3
000086,001636.8309,05,2024,86,"    ",3
000086,001182.9409,05,2024,52,2815,1
000087,001747.9052,05,2024,29,2815,1
000087,001601.3812,05,2024,29,2815,1
000087,002497.4740,05,2024,08,"    "," "
000087,002497.4740,05,2024,02,"    "," "
000088,001741.0775,05,2024,26,2821,1
000088,001595.1258,05,2024,26,2821,1
000088,001573.3339,05,2024,01,"    "," "
000089,001158.4960,05,2024,81,2821,1
000089,001741.0775,05,2024,29,2821,1
000090,001191.8804,05,2024,56,"    ",3
000090,001741.0775,05,2024,29,2812,1
000090,001572.1435,05,2024,15,"    ",3
000090,001178.3200,05,2024,48,"    "," "
000091,001403.9412,05,2024,53,2821,1
000091,001178.3200,05,2024,47,2821,1
000091,001572.1435,05,2024,22,"    ",3
000091,001031.0518,05,2024,16,"    ",3
000092,001403.9412,05,2024,54,2820,1
000093,001158.4960,05,2024,77,"    ",3
000093,001630.4371,05,2024,66,"    ",3
000093,001709.9614,05,2024,42,2821,1
000093,002055.7431,05,2024,42,2821,1
000093,001573.3339,05,2024,14,"    "," "
000094,001403.9412,05,2024,52,2821,1
000094,001178.3200,05,2024,50,2821,1
000094,001031.0518,05,2024,23,"    ",2
000094,001031.0518,05,2024,21,"    ",3
000094,001572.1435,05,2024,19,"    ",3
000095,001709.9614,05,2024,37,2821,1
000095,001595.1258,05,2024,30,"    ",3
000095,001573.3339,05,2024,12,"    "," "
000095,002487.7182,05,2024,00,"    "," "
000096,001191.8804,05,2024,63,2821,1
000096,001595.1258,05,2024,26,2820,1
000096,001031.0518,05,2024,24,2812,1
000096,001572.1435,05,2024,23,2821,1
000096,001572.1435,05,2024,21,"    ",3
000096,001572.1435,05,2024,20,"    ",3
000097,001031.0518,05,2024,21,"    ",3
000097,001031.0518,05,2024,19,"    ",3
000097,001031.0518,05,2024,17,"    ",3
000097,001572.1435,05,2024,24,"    "," "
000098,001403.9412,05,2024,48,2821,1
000098,001178.3200,05,2024,49,2812,1
000098,002487.7182,05,2024,14,"    "," "
000098,001573.3339,05,2024,12,"    "," "
000099,001403.9412,05,2024,53,2821,1
000099,001178.3200,05,2024,49,2821,1
000099,001595.1258,05,2024,25,2821,1
000099,001572.1435,05,2024,21,2821,1
000099,001031.0518,05,2024,22,2821,1
000099,001572.1435,05,2024,22,2821,1
000099,001031.0518,05,2024,19,2821,1
000100,002220.3133,05,2024,52,2906,1
000100,001624.6648,05,2024,53,2906,1
000100,001341.3387,05,2024,21,"    ",3
000100,001997.6099,05,2024,31,2903,1
000100,001646.6878,05,2024,30,2906,1
000100,001897.4240,05,2024,03,"    "," "
000100,001997.6099,05,2024,28,"    ",2
000100,001646.6878,05,2024,27,2906,1
000100,001901.9296,05,2024,06,"    "," "
000100,001897.4240,05,2024,02,"    "," "
000101,001624.6648,05,2024,46,"    ",3
000101,001475.5043,05,2024,42,1233,1
000101,001723.3280,05,2024,15,"    ",3
000101,001897.4240,05,2024,13,"    "," "
000102,002277.8286,05,2024,35,2906,1
000102,001646.6878,05,2024,29,2906,1
000102,001901.9296,05,2024,05,"    "," "
000102,001997.6099,05,2024,25,"    ",3
000103,001455.0613,05,2024,61,"    ",3
000103,001341.3387,05,2024,22,"    ",3
000103,001897.4240,05,2024,09,"    "," "
000104,001475.5043,05,2024,35,2906,1
000104,001646.6878,05,2024,27,"    ",3
000104,001897.4240,05,2024,12,"    "," "
000104,001901.9296,05,2024,10,"    "," "
000104,001897.4240,05,2024,02,"    "," "
000105,001997.6099,05,2024,30,2906,1
000105,001646.6878,05,2024,29,"    ",3
000105,001901.9296,05,2024,03,"    "," "
000106,001551.6182,05,2024,67,"    ",3
000106,001455.0613,05,2024,64,"    ",3
000106,002277.8286,05,2024,42,2906,1
000106,001475.5043,05,2024,38,2906,1
000106,001901.9296,05,2024,10,"    "," "
000107,002220.3133,05,2024,54,2906,1
000107,001475.5043,05,2024,42,"    ",3
000107,001475.5043,05,2024,36,2906,1
000107,002192.3589,05,2024,76,2906,1
000108,001380.4510,05,2024,58,2906,1
000108,001455.0613,05,2024,62,2906,1
000109,001380.4510,05,2024,58,2906,1
000109,001624.6648,05,2024,54,2906,1
000109,001646.6878,05,2024,28,2906,1
000109,001646.6878,05,2024,25,2906,1
000109,001341.3387,05,2024,16,"    ",3
000109,001997.6099,05,2024,25,2906,1
000109,001646.6878,05,2024,32,"    ",3
000109,001897.4240,05,2024,03,"    "," "
000109,001901.9296,05,2024,12,"    "," "
000109,001723.3280,05,2024,21,"    ",3
000109,001723.3280,05,2024,17,"    ",3
000110,001997.6099,05,2024,30,2906,1
000110,001646.6878,05,2024,34,"    ",3
000110,001901.9296,05,2024,09,"    "," "
000110,001901.9296,05,2024,04,"    "," "
000111,001475.5043,05,2024,43,2917,1
000111,001624.6648,05,2024,45,2906,1
000111,001341.3387,05,2024,16,"    ",3
000111,001901.9296,05,2024,10,"    "," "
000111,001897.4240,05,2024,08,"    "," "
000112,001380.4510,05,2024,60,2906,1
000112,001475.5043,05,2024,41,2906,1
000112,001341.3387,05,2024,23,2906,1
000112,001341.3387,05,2024,22,"    ",3
000112,001475.5043,05,2024,40,2906,1
000112,002277.8286,05,2024,42,2906,1
000112,001901.9296,05,2024,11,"    "," "
000112,001897.4240,05,2024,08,"    "," "
000113,001551.6182,05,2024,72,"    ",3
000113,002192.3589,05,2024,66,"    ",3
000113,001341.3387,05,2024,22,2906,1
000114,002192.3589,05,2024,71,"    ",3
000115,001380.4510,05,2024,59,"    ",3
000115,001455.0613,05,2024,59,"    "," "
000115,001341.3387,05,2024,22,"    ",3
000115,001475.5043,05,2024,35,2906,1
000115,001646.6878,05,2024,33,2906,1
000116,001624.6648,05,2024,50,2906,1
000116,002192.3589,05,2024,78,"    ",3
000116,001624.6648,05,2024,51,"    ",3
000116,001723.3280,05,2024,22,"    ",3
000116,001901.9296,05,2024,14,"    "," "
000117,001624.6648,05,2024,51,2906,1
000117,001723.3280,05,2024,23,2906,1
000117,001341.3387,05,2024,24,2906,1
000117,001723.3280,05,2024,22,2906,1
000117,001341.3387,05,2024,18,"    ",3
000117,001901.9296,05,2024,01,"    "," "
000117,001341.3387,05,2024,17,"    ",3
000118,001475.5043,05,2024,40,2906,1
000119,002299.4756,05,2024,53,2934,1
000119,001682.5901,05,2024,54,2934,1
000119,001389.1623,05,2024,21,"    ",3
000119,001389.1623,05,2024,20,"    ",3
000120,001506.9395,05,2024,62,"    ",3
000120,002359.0415,05,2024,40,"    ",3
000120,001969.7403,05,2024,01,"    "," "
000121,001429.6691,05,2024,57,2926,1
000121,001506.9395,05,2024,58,"    ",3
000121,002068.8319,05,2024,29,2934,1
000121,001705.3983,05,2024,33,"    "," "
000122,001429.6691,05,2024,60,2907,1
000122,001506.9395,05,2024,59,"    ",3
000122,002068.8319,05,2024,28,2903,1
000122,001965.0741,05,2024,06,"    "," "
000122,002270.5245,05,2024,82,"    ",3
000123,001606.9391,05,2024,68,"    ",3
000123,001506.9395,05,2024,59,2907,1
000124,001705.3983,05,2024,28,2907,1
000124,001965.0741,05,2024,05,"    "," "
000124,001969.7403,05,2024,04,"    "," "
000125,002068.8319,05,2024,26,2907,1
000126,001606.9391,05,2024,70,"    ",3
000126,002270.5245,05,2024,77,"    ",3
000126,001528.1115,05,2024,37,2907,1
000126,002359.0415,05,2024,37,"    ",3
000126,001969.7403,05,2024,00,"    "," "
000127,001429.6691,05,2024,60,2934,1
000127,001506.9395,05,2024,57,2934,1
000127,001389.1623,05,2024,24,"    ",3
000128,001506.9395,05,2024,56,"    ",3
000128,002299.4756,05,2024,53,"    "," "
000128,001965.0741,05,2024,13,"    "," "
000128,001606.9391,05,2024,76,2907,1
000128,002299.4756,05,2024,50,2907,1
000129,002068.8319,05,2024,32,2907,1
000129,002359.0415,05,2024,41,2907,1
000129,001969.7403,05,2024,10,"    "," "
000130,002270.5245,05,2024,74,"    ",3
000130,002299.4756,05,2024,45,2934,1
000130,001528.1115,05,2024,42,2934,1
000131,001528.1115,05,2024,37,2907,1
000131,002359.0415,05,2024,37,"    "," "
000131,001965.0741,05,2024,14,2907," "
000131,001965.0741,05,2024,10,"    "," "
000131,001969.7403,05,2024,05,"    "," "
000131,001965.0741,05,2024,02,"    "," "
000132,002068.8319,05,2024,30,2812,1
000132,001705.3983,05,2024,30,2903,1
000132,001969.7403,05,2024,06,"    "," "
000133,001506.9395,05,2024,59,2907,1
000133,001705.3983,05,2024,26,2907,1
000133,001784.7709,05,2024,24,2914,1
000134,001606.9391,05,2024,70,2907,1
000134,001506.9395,05,2024,61,2907,1
000134,001389.1623,05,2024,18,"    ",3
000135,001429.6691,05,2024,61,2934,1
000135,001506.9395,05,2024,62,"    ",3
000135,001705.3983,05,2024,28,"    ",3
000135,001389.1623,05,2024,18,"    ",3
000136,001429.6691,05,2024,59,2907,1
000136,001506.9395,05,2024,57,"    ",3
000136,002068.8319,05,2024,29,2907,1
000137,001528.1115,05,2024,35,2934,1
000137,001705.3983,05,2024,32,"    ",3
000137,001965.0741,05,2024,09,"    "," "
000137,002068.8319,05,2024,29,2934,1
000138,001606.9391,05,2024,94,"    ",3
000138,001429.6691,05,2024,56,2934,1
000138,001682.5901,05,2024,49,"    ",3
000138,001389.1623,05,2024,18,"    ",3
000139,001410.1381,05,2024,63,2920,1
000139,001760.3888,05,2024,23,2920,1
000140,002239.5064,05,2024,76,"    ",3
000140,001370.1847,05,2024,18,"    ",3
000141,001507.2356,05,2024,38,2934,1
000141,001682.1005,05,2024,30,"    "," "
000141,001938.2288,05,2024,11,"    "," "
000141,001942.8313,05,2024,01,"    "," "
000142,001584.9864,05,2024,66,"    ",3
000142,001486.3529,05,2024,62,"    ",3
000143,001410.1381,05,2024,59,2920,1
000143,001659.6039,05,2024,52,2920,1
000143,001760.3888,05,2024,17,2920,1
000143,001370.1847,05,2024,16,"    ",3
000143,001942.8313,05,2024,11,"    "," "
000144,001410.1381,05,2024,60,2912,1
000145,001507.2356,05,2024,35,2920,1
000145,001682.1005,05,2024,28,"    ",3
000145,001942.8313,05,2024,07,"    "," "
000145,001938.2288,05,2024,03,"    "," "
000146,002268.0620,05,2024,52,2920,1
000146,002326.8141,05,2024,43,2920,1
000146,001370.1847,05,2024,23,2934,1
000146,001760.3888,05,2024,19,2920,1
000146,001760.3888,05,2024,16,"    ",2
000146,001410.1381,05,2024,59,"    ",3
000147,001486.3529,05,2024,60,2920,1
000147,002040.5692,05,2024,32,2934,1
000148,002208.3762,05,2024,45,"    ",3
000149,001543.2762,05,2024,66,2930,1
000150,001373.0292,05,2024,61,2930,1
000150,001447.2384,05,2024,60,2930,1
000150,001891.7041,05,2024,13,"    "," "
000151,001467.5715,05,2024,37,2930,1
000151,001637.8347,05,2024,31,2930,1
000152,002208.3762,05,2024,50,2930,1
000153,001373.0292,05,2024,60,"    ",3
000153,001447.2384,05,2024,55,2930,1
000153,001334.1272,05,2024,23,"    ",3
000153,001986.8700,05,2024,34,2930,1
000153,001891.7041,05,2024,14,"    "," "
000153,001887.2228,05,2024,09,"    "," "
000153,001986.8700,05,2024,28,2930,1
000153,001637.8347,05,2024,26,"    "," "
000153,001891.7041,05,2024,10,"    "," "
000153,001887.2228,05,2024,02,"    "," "
000153,001637.8347,05,2024,34,2930,1
000154,001467.5715,05,2024,36,2930,1
000154,002265.5822,05,2024,35,2930,1
000154,001887.2228,05,2024,10,"    "," "
000154,001887.2228,05,2024,08,"    "," "
000155,002208.3762,05,2024,46,2930,1
000155,001615.9301,05,2024,47,2930,1
000155,001714.0628,05,2024,23,"    ",3
000155,001986.8700,05,2024,25,2930,1
000156,001373.0292,05,2024,59,2930,1
000156,001447.2384,05,2024,56,2930,1
000156,001714.0628,05,2024,24,2930,1
000156,001334.1272,05,2024,16,"    ",3
000156,001887.2228,05,2024,14,"    "," "
000157,002180.5720,05,2024,76,"    ",3
000158,001467.5715,05,2024,38,2930,1
000158,002265.5822,05,2024,39,"    ",3
000158,002180.5720,05,2024,69,"    ",3
000159,001447.2384,05,2024,56,2930,1
000159,001467.5715,05,2024,38,2930,1
000159,001637.8347,05,2024,32,2930,1
000159,001334.1272,05,2024,17,"    ",3
000160,001615.9301,05,2024,47,2930,1
000160,002208.3762,05,2024,49,2930,1
000160,001714.0628,05,2024,19,"    ",3
000160,001543.2762,05,2024,76,"    ",3
000161,001467.5715,05,2024,41,2930,1
000161,002265.5822,05,2024,43,2930,1
000161,001891.7041,05,2024,13,"    "," "
000162,001447.2384,05,2024,63,"    ",3
000162,001887.2228,05,2024,11,"    "," "
000162,001891.7041,05,2024,08,"    "," "
000163,001467.5715,05,2024,43,2930,1
000163,002265.5822,05,2024,41,"    ",3
000163,001714.0628,05,2024,21,2930,1
000163,001714.0628,05,2024,19,"    ",3
000163,001714.0628,05,2024,19,"    ",3
