Region,Province,City,EMP_w_2024,months_observed_2024,quality_flag,projection_note,DEM_Region_std,DEM_geo_source_for_demand,DEM_households_single_duplex_2020,DEM_units_single_duplex_2020,DEM_single_house_households_2020,DEM_single_house_occupied_units_2020,DEM_duplex_households_2020,DEM_duplex_occupied_units_2020,DEM_CAGR_occ_2015_2020,DEM_households_single_duplex_2024,DEM_units_single_duplex_2024,DEM_single_house_households_2024,DEM_single_house_occupied_units_2024,DEM_duplex_households_2024,DEM_duplex_occupied_units_2024,DEM_CAGR_occ_2015_2020.1,DEM_growth_rate_used_value,DEM_growth_rate_used_basis,DEM_growth_rate_geo_source,DEM_years_used_from,DEM_years_used_to,GRDP_city_raw,GRDP_grdp_pc_2024_const,GRDP_geo_source_for_grdp,INC_income_per_hh_2018,INC_income_per_hh_2021,INC_income_per_hh_2023p,INC_income_total_2023p_millions,INC_geo_source_for_income,INC_cagr_21_23p,INC_cagr_18_23p,INC_growth_rate_used_income,INC_years_used_income,INC_growth_rate_geo_source_income,INC_switched_to_longer_cagr,INC_switch_reason,INC_income_per_hh_2024,INC_qa_flag_missing_any_cagr,INC_qa_flag_nonpositive_2024,RISK_Risk_Gate,RISK_Risk_Gate_Reasons,RISK_Fault_Distance_km,RISK_Nearest_Fault_Name,RISK_Flood_Level_Num,RISK_StormSurge_Level_Num,RISK_Landslide_Level_Num,RISK_events_50km,RISK_events_50km_per_year,RISK_m5plus_50km,RISK_avg_mag_50km,RISK_avg_depth_km_50km,RISK_EarthquakeRisk,RISK_HydroMean,RISK_HazardSafetyIndex,RISK_Flood_Level_Tip,RISK_StormSurge_Level_Tip,RISK_Landslide_Level_Tip,RISK_Risk_Gate_Tip,RISK_Risk_Gate_Reasons_ASCII
NCR,NCR,Pasay City,325219,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,69342,60326,65408,56954,3934,3372,0.018713957,74680,64970,70443,61339,4237,3632,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Pasay City,503483,region,429850,393060,477310,58005.62,city,0.101972716,0.021166879,0.101972716,2021–2023p,city,FALSE,,525982.5969,FALSE,FALSE,PASS,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,3.7,Valley Fault System,1,2,1,203,26,0,2.19,21.08,0.724011536,0.5,0.443728719,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 2 (Medium): 0.5 to 1.5 m or depth x velocity 0.5 to 1.5 m2/s.,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds
NCR,NCR,Pasig City,539566,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,136386,124606,124121,113387,12265,11219,0.018713957,146885,134199,133676,122116,13209,12083,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Pasig City,503483,region,451830,429920,590370,130765.02,city,0.171839993,0.054945062,0.054945062,2018–2023p,city,TRUE,abs>15%,622807.916,FALSE,FALSE,REVIEW,Active fault trace crosses city — micro-siting required (avoid rupture buffer),0,Valley Fault System,1,1,1,220,28,0,2.13,20.45,0.745120626,0.333333333,0.50195175,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Active fault trace crosses city  micro-siting required (avoid rupture buffer)
NCR,NCR,Quezon City,1825229,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,582490,547417,554889,521248,27601,26169,0.018713957,627332,589559,597606,561375,29726,28184,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Quezon City,503483,region,478680,429280,480700,359208.8,city,0.058197505,0.000842567,0.058197505,2021–2023p,city,FALSE,,508675.5409,FALSE,FALSE,REVIEW,Active fault trace crosses city — micro-siting required (avoid rupture buffer),0,Valley Fault System,1,1,1,136,17,0,1.99,22.24,0.695037411,0.333333333,0.521985036,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Active fault trace crosses city  micro-siting required (avoid rupture buffer)
NCR,NCR,San Juan City,67004,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,17515,16242,16664,15478,851,764,0.018713957,18863,17492,17947,16670,917,823,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,San Juan City,503483,region,588490,549370,842810,24320.15,city,0.238603692,0.074479462,0.074479462,2018–2023p,city,TRUE,abs>15%,905582.0351,FALSE,FALSE,PASS,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,2.9,Valley Fault System,1,1,1,131,17,0,2.05,21.93,0.684530123,0.333333333,0.526187951,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds
NCR,NCR,Taguig City,653810,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,151357,137316,135188,122616,16169,14700,0.018713957,163009,147887,145595,132055,17414,15832,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Taguig City,503483,region,428620,376130,519600,150373.59,city,0.175345596,0.039248346,0.039248346,2018–2023p,city,TRUE,abs>15%,539993.4407,FALSE,FALSE,REVIEW,Active fault trace crosses city — micro-siting required (avoid rupture buffer),0,Valley Fault System,1,1,1,244,31,0,2.19,20.12,0.764755668,0.333333333,0.494097733,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Active fault trace crosses city  micro-siting required (avoid rupture buffer)
NCR,NCR,Valenzuela City,277294,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,National Capital Region,city,132706,121133,123616,112612,9090,8521,0.018713957,142922,130458,133132,121281,9790,9177,0.018713957,0.018713957,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Valenzuela City,503483,region,369330,370890,403070,69892.16,city,0.042479865,0.017637677,0.042479865,2021–2023p,city,FALSE,,420192.3593,FALSE,FALSE,PASS,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,9.2,Valley Fault System,1,1,1,102,13,0,1.96,23.8,0.591997462,0.333333333,0.563201015,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds
Region III (Central Luzon),Bataan,Balanga City,62673,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,Region III (Central Luzon),province,191552,182140,180934,171968,10618,10172,0.028605307,214428,203892,202542,192505,11886,11387,0.028605307,0.028605307,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Balanga City,191874,region,397360,372430,387330,83190.7,province,0.019807589,-0.005100076,-0.005100076,2018–2023p,province,TRUE,sign_flip,385354.5876,FALSE,FALSE,PASS,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,61.8,Iba Fault,2,2,1,374,40,1,2.2,66.84,0.097338297,0.666666667,0.627731348,Flood Level 2 (Medium): 0.5 to 1.5 m or stronger flow; design for raised floors and drainage.,Storm Surge 2 (Medium): 0.5 to 1.5 m or depth x velocity 0.5 to 1.5 m2/s.,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds
Region III (Central Luzon),Bulacan,Malolos City,80963,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,Region III (Central Luzon),province,721538,676204,671305,628197,50233,48007,0.028605307,807708,756960,751476,703219,56232,53740,0.028605307,0.028605307,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Malolos City,191874,region,356940,340370,371940,342693.71,province,0.045347791,0.008266954,0.045347791,2021–2023p,province,FALSE,,388806.6576,FALSE,FALSE,PASS,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,30.6,Valley Fault System,1,1,1,72,9,0,2.01,44.57,0.362062288,0.333333333,0.655175085,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds
Region III (Central Luzon),Bulacan,Meycauayan City,91307,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,Region III (Central Luzon),province,721538,676204,671305,628197,50233,48007,0.028605307,807708,756960,751476,703219,56232,53740,0.028605307,0.028605307,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Meycauayan City,191874,region,356940,340370,371940,342693.71,province,0.045347791,0.008266954,0.045347791,2021–2023p,province,FALSE,,388806.6576,FALSE,FALSE,PASS,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,12.3,Valley Fault System,1,1,1,98,13,0,1.94,22.97,0.557538706,0.333333333,0.576984518,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds
Region III (Central Luzon),Bulacan,San Jose del Monte City,194651,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,Region III (Central Luzon),province,721538,676204,671305,628197,50233,48007,0.028605307,807708,756960,751476,703219,56232,53740,0.028605307,0.028605307,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,San Jose del Monte City,191874,region,356940,340370,371940,342693.71,province,0.045347791,0.008266954,0.045347791,2021–2023p,province,FALSE,,388806.6576,FALSE,FALSE,PASS,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,3.7,Valley Fault System,1,1,1,149,19,0,2.05,19.94,0.681309087,0.333333333,0.527476365,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,210001,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,Region III (Central Luzon),province,558224,532052,539001,513407,19223,18645,0.028605307,624890,595592,603371,574721,21519,20872,0.028605307,0.028605307,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Cabanatuan City,191874,region,308780,267120,323630,194488.54,province,0.100705619,0.009438633,0.100705619,2021–2023p,province,FALSE,,356221.3595,FALSE,FALSE,PASS,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,5.4,Unnamed Fault,2,1,1,289,32,2,2.13,31.66,0.677030818,0.5,0.462521006,Flood Level 2 (Medium): 0.5 to 1.5 m or stronger flow; design for raised floors and drainage.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds
Region III (Central Luzon),Nueva Ecija,Gapan City,25061,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,Region III (Central Luzon),province,558224,532052,539001,513407,19223,18645,0.028605307,624890,595592,603371,574721,21519,20872,0.028605307,0.028605307,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Gapan City,191874,region,308780,267120,323630,194488.54,province,0.100705619,0.009438633,0.100705619,2021–2023p,province,FALSE,,356221.3595,FALSE,FALSE,REVIEW,High hydro hazard: Flood L3,15.7,Unnamed Fault,3,1,1,223,24,2,2.1,33.62,0.56005353,0.666666667,0.442645255,Flood Level 3 (High): above 1.5 m or high-velocity flow; avoid or elevate site significantly.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",High hydro hazard: Flood L3
Region III (Central Luzon),Nueva Ecija,Palayan City,3407,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months,Region III (Central Luzon),province,558224,532052,539001,513407,19223,18645,0.028605307,624890,595592,603371,574721,21519,20872,0.028605307,0.028605307,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024,Palayan City,191874,region,308780,267120,323630,194488.54,province,0.100705619,0.009438633,0.100705619,2021–2023p,province,FALSE,,356221.3595,FALSE,FALSE,REVIEW,Active fault trace crosses city — micro-siting required (avoid rupture buffer),0,Unnamed Fault,1,1,1,273,30,1,2.08,24.18,0.726059212,0.333333333,0.509576315,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Active fault trace crosses city  micro-siting required (avoid rupture buffer)
