Area_slug,Area_display,Region,Year,Price
taguig,Taguig,NCR,2028,36346483.13224149
taguig,Taguig,NCR,2029,36875226.50123198
tarlac,Tarlac,Region III (Central Luzon),2023,5740500.0
tarlac,Tarlac,Region III (Central Luzon),2024,5662156.939515147
tarlac,Tarlac,Region III (Central Luzon),2025,5791772.016755703
tarlac,Tarlac,Region III (Central Luzon),2026,5920408.715195382
tarlac,Tarlac,Region III (Central Luzon),2027,6048109.665086978
tarlac,Tarlac,Region III (Central Luzon),2028,6174914.630326699
tarlac,Tarlac,Region III (Central Luzon),2029,6300860.775812049
valenzuela,Valenzuela,NCR,2023,9200000.0
valenzuela,Valenzuela,NCR,2024,8998362.942076055
valenzuela,Valenzuela,NCR,2025,9137223.92052773
valenzuela,Valenzuela,NCR,2026,9276097.834038254
valenzuela,Valenzuela,NCR,2027,9414996.857141787
valenzuela,Valenzuela,NCR,2028,9553932.709046334
valenzuela,Valenzuela,NCR,2029,9692916.680323835
zambales,Zambales,Region III (Central Luzon),2023,3961400.0
zambales,Zambales,Region III (Central Luzon),2024,3907337.078685708
zambales,Zambales,Region III (Central Luzon),2025,3996781.7554526683
zambales,Zambales,Region III (Central Luzon),2026,4085551.2732993616
zambales,Zambales,Region III (Central Luzon),2027,4173675.0504791494
zambales,Zambales,Region III (Central Luzon),2028,4261180.527232155
zambales,Zambales,Region III (Central Luzon),2029,4348093.350283399
