Region,Province,Area_display,Year,Price,Households,UnitsPer1k,GRDP_Const2018,Consumption_Const2018,PTI,EmploymentRate_2024_2025_avg,Flood_Index_0to1,StormSurge_Index_0to1,Landslide_Index_0to1,Price_proxy,Households_proxy,Units_proxy,GRDP_proxy,Consumption_proxy,PTI_proxy,Hazard_proxy,AvgIncome_per_HH,Nearest_Fault_Name,Fault_Distance_km,Hazard_source,Flood_Level,StormSurge_Level,Landslide_Level,Fault_Proximity_Level,Flood_Tooltip,StormSurge_Tooltip,Landslide_Tooltip,Fault_Tooltip,Flood_Tooltip_ASCII,StormSurge_Tooltip_ASCII,Landslide_Tooltip_ASCII,Fault_Tooltip_ASCII,Flood_Level_tips,Flood_Level_Num,Landslide_Level_tips,Landslide_Level_Num,StormSurge_Level_tips,StormSurge_Level_Num,Flood_Level_Simple,StormSurge_Level_Simple,Landslide_Level_Simple,Fault_Proximity_Index,Fault_Proximity_Level_Simple,AvgIncome_per_HH_city,AvgIncome_per_HH_prov,AvgIncome_per_HH_ncr,name_key,prov_key,Area_slug,City,Flood_Level_tips_ascii,StormSurge_Level_tips_ascii,Landslide_Level_tips_ascii
Region IV-A,Rizal,Antipolo,2028,15429679.790195497,931565.6003819368,911850.671815232,3426406928.913574,153619.5549762652,20.0,94.22317323191902,0.6,0.6,0.2,True,True,True,True,True,True,True,507102.4317259213,Valley Fault System,4.0,Province-inherited,Medium,Medium,Low,,Flood risk — Level: Medium (index 0.60),Storm-surge risk — Level: Medium (index 0.60),Landslide risk — Level: Low (index 0.20),Nearest fault: 4.0 at 4.0 km — Level: Low (index 0.10),Flood risk Level: Medium (index 0.60),Storm-surge risk Level: Medium (index 0.60),Landslide risk Level: Low (index 0.20),Nearest fault: 4.0 at 4.0 km Level: Low (index 0.10),"Flood: Medium (NOAH level 2/3, index 0.60)",0.5,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: Medium (NOAH level 2/3, index 0.60)",0.5,Medium,Medium,Low,0.8666666666666667,Low,507102.4317259213,507102.4317259213,620121.2826497357,antipolo,rizal,antipolo,,"Flood: Medium (NOAH level 2/3, index 0.60)","StormSurge: Medium (NOAH level 2/3, index 0.60)","Landslide: Low (NOAH level 1/3, index 0.20)"
Region IV-A,Rizal,Antipolo,2029,15705998.963532962,954754.5753511996,929504.8441474292,3518395637.1709595,155009.41279858412,20.0,94.22317323191902,0.6,0.6,0.2,True,True,True,True,True,True,True,524473.1421765193,Valley Fault System,4.0,Province-inherited,Medium,Medium,Low,,Flood risk — Level: Medium (index 0.60),Storm-surge risk — Level: Medium (index 0.60),Landslide risk — Level: Low (index 0.20),Nearest fault: 4.0 at 4.0 km — Level: Low (index 0.10),Flood risk Level: Medium (index 0.60),Storm-surge risk Level: Medium (index 0.60),Landslide risk Level: Low (index 0.20),Nearest fault: 4.0 at 4.0 km Level: Low (index 0.10),"Flood: Medium (NOAH level 2/3, index 0.60)",0.5,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: Medium (NOAH level 2/3, index 0.60)",0.5,Medium,Medium,Low,0.8666666666666667,Low,524473.1421765193,524473.1421765193,645530.2034417075,antipolo,rizal,antipolo,,"Flood: Medium (NOAH level 2/3, index 0.60)","StormSurge: Medium (NOAH level 2/3, index 0.60)","Landslide: Low (NOAH level 1/3, index 0.20)"
Region IV-A,Cavite,Bacoor,2024,14317432.620023375,168545.3233438522,1172486.4280043798,436921727.98342896,21169.089981237445,20.0,94.22317323191902,0.6,1.0,0.2,True,True,True,True,True,True,True,424310.5025136582,Valley Fault System,5.0,City,Medium,High,Low,,Flood risk — Level: Low (index 0.20),Storm-surge risk — Level: High (index 1.00),Landslide risk — Level: Low (index 0.20),Nearest fault: 5.0 at 14.5 km — Level: Low (index 0.07),Flood risk Level: Low (index 0.20),Storm-surge risk Level: High (index 1.00),Landslide risk Level: Low (index 0.20),Nearest fault: 5.0 at 14.5 km Level: Low (index 0.07),"Flood: Medium (NOAH level 2/3, index 0.60)",0.5,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: High (NOAH level 3/3, index 1.00)",0.8,Medium,High,Low,0.8333333333333334,Low,424310.5025136582,424310.5025136582,528100.9087916539,bacoor,cavite,bacoor,,"Flood: Medium (NOAH level 2/3, index 0.60)","StormSurge: High (NOAH level 3/3, index 1.00)","Landslide: Low (NOAH level 1/3, index 0.20)"
Region IV-A,Cavite,Bacoor,2025,14596735.979606183,172741.6111950798,1195190.926837667,450062972.0201982,21360.61524184858,20.0,94.22317323191902,0.6,1.0,0.2,True,True,True,True,True,True,True,438843.2142699474,Valley Fault System,5.0,City,Medium,High,Low,,Flood risk — Level: Low (index 0.20),Storm-surge risk — Level: High (index 1.00),Landslide risk — Level: Low (index 0.20),Nearest fault: 5.0 at 14.5 km — Level: Low (index 0.07),Flood risk Level: Low (index 0.20),Storm-surge risk Level: High (index 1.00),Landslide risk Level: Low (index 0.20),Nearest fault: 5.0 at 14.5 km Level: Low (index 0.07),"Flood: Medium (NOAH level 2/3, index 0.60)",0.5,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: High (NOAH level 3/3, index 1.00)",0.8,Medium,High,Low,0.8333333333333334,Low,438843.2142699474,438843.2142699474,549739.3761964802,bacoor,cavite,bacoor,,"Flood: Medium (NOAH level 2/3, index 0.60)","StormSurge: High (NOAH level 3/3, index 1.00)","Landslide: Low (NOAH level 1/3, index 0.20)"
Region IV-A,Cavite,Bacoor,2026,14875142.912948811,177042.17521089475,1218334.0128189556,463204216.0569676,21553.8733084275,20.0,94.22317323191902,0.6,1.0,0.2,True,True,True,True,True,True,True,453874.18468508846,Valley Fault System,5.0,City,Medium,High,Low,,Flood risk — Level: Low (index 0.20),Storm-surge risk — Level: High (index 1.00),Landslide risk — Level: Low (index 0.20),Nearest fault: 5.0 at 14.5 km — Level: Low (index 0.07),Flood risk Level: Low (index 0.20),Storm-surge risk Level: High (index 1.00),Landslide risk Level: Low (index 0.20),Nearest fault: 5.0 at 14.5 km Level: Low (index 0.07),"Flood: Medium (NOAH level 2/3, index 0.60)",0.5,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: High (NOAH level 3/3, index 1.00)",0.8,Medium,High,Low,0.8333333333333334,Low,453874.18468508846,453874.18468508846,572264.4606546622,bacoor,cavite,bacoor,,"Flood: Medium (NOAH level 2/3, index 0.60)","StormSurge: High (NOAH level 3/3, index 1.00)","Landslide: Low (NOAH level 1/3, index 0.20)"
Region IV-A,Cavite,Bacoor,2027,15152758.251427278,181449.60165791976,1241924.13747653,476345460.0937413,21748.879858365908,20.0,94.22317323191902,0.6,1.0,0.2,True,True,True,True,True,True,True,469420.5141603017,Valley Fault System,5.0,City,Medium,High,Low,,Flood risk — Level: Low (index 0.20),Storm-surge risk — Level: High (index 1.00),Landslide risk — Level: Low (index 0.20),Nearest fault: 5.0 at 14.5 km — Level: Low (index 0.07),Flood risk Level: Low (index 0.20),Storm-surge risk Level: High (index 1.00),Landslide risk Level: Low (index 0.20),Nearest fault: 5.0 at 14.5 km Level: Low (index 0.07),"Flood: Medium (NOAH level 2/3, index 0.60)",0.5,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: High (NOAH level 3/3, index 1.00)",0.8,Medium,High,Low,0.8333333333333334,Low,469420.5141603017,469420.5141603017,595712.4905153749,bacoor,cavite,bacoor,,"Flood: Medium (NOAH level 2/3, index 0.60)","StormSurge: High (NOAH level 3/3, index 1.00)","Landslide: Low (NOAH level 1/3, index 0.20)"
Region IV-A,Cavite,Bacoor,2028,15429679.790195497,185966.5408244841,1265969.9147982833,489486704.13051057,21945.650710895028,20.0,94.22317323191902,0.6,1.0,0.2,True,True,True,True,True,True,True,485499.89058473794,Valley Fault System,5.0,City,Medium,High,Low,,Flood risk — Level: Low (index 0.20),Storm-surge risk — Level: High (index 1.00),Landslide risk — Level: Low (index 0.20),Nearest fault: 5.0 at 14.5 km — Level: Low (index 0.07),Flood risk Level: Low (index 0.20),Storm-surge risk Level: High (index 1.00),Landslide risk Level: Low (index 0.20),Nearest fault: 5.0 at 14.5 km Level: Low (index 0.07),"Flood: Medium (NOAH level 2/3, index 0.60)",0.5,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: High (NOAH level 3/3, index 1.00)",0.8,Medium,High,Low,0.8333333333333334,Low,485499.89058473794,485499.89058473794,620121.2826497357,bacoor,cavite,bacoor,,"Flood: Medium (NOAH level 2/3, index 0.60)","StormSurge: High (NOAH level 3/3, index 1.00)","Landslide: Low (NOAH level 1/3, index 0.20)"
Region IV-A,Cavite,Bacoor,2029,15705998.963532962,190595.70860239607,1290480.124346886,502627948.1672799,22144.20182836916,20.0,94.22317323191902,0.6,1.0,0.2,True,True,True,True,True,True,True,502130.60953917314,Valley Fault System,5.0,City,Medium,High,Low,,Flood risk — Level: Low (index 0.20),Storm-surge risk — Level: High (index 1.00),Landslide risk — Level: Low (index 0.20),Nearest fault: 5.0 at 14.5 km — Level: Low (index 0.07),Flood risk Level: Low (index 0.20),Storm-surge risk Level: High (index 1.00),Landslide risk Level: Low (index 0.20),Nearest fault: 5.0 at 14.5 km Level: Low (index 0.07),"Flood: Medium (NOAH level 2/3, index 0.60)",0.5,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: High (NOAH level 3/3, index 1.00)",0.8,Medium,High,Low,0.8333333333333334,Low,502130.60953917314,502130.60953917314,645530.2034417075,bacoor,cavite,bacoor,,"Flood: Medium (NOAH level 2/3, index 0.60)","StormSurge: High (NOAH level 3/3, index 1.00)","Landslide: Low (NOAH level 1/3, index 0.20)"
Region III,Bataan,Balanga,2024,3880100.548240364,240128.0212847266,222641.252170543,2310908201.2535706,151216.99395108753,10.933701376063327,94.22317323191902,0.6,0.6,0.2,True,True,True,True,True,True,True,354875.29929570766,Iba Fault,61.8,City,Medium,Medium,Low,,Flood risk — Level: Medium (index 0.40),Storm-surge risk — Level: Medium (index 0.60),Landslide risk — Level: Low (index 0.20),Fault proximity — Level: Low (index 0.03),Flood risk Level: Medium (index 0.40),Storm-surge risk Level: Medium (index 0.60),Landslide risk Level: Low (index 0.20),Fault proximity Level: Low (index 0.03),"Flood: Medium (NOAH level 2/3, index 0.60)",0.5,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: Medium (NOAH level 2/3, index 0.60)",0.5,Medium,Medium,Low,0.0,Low,354875.29929570766,354875.29929570766,528100.9087916539,balanga,bataan,balanga,,"Flood: Medium (NOAH level 2/3, index 0.60)","StormSurge: Medium (NOAH level 2/3, index 0.60)","Landslide: Low (NOAH level 1/3, index 0.20)"
Region III,Bataan,Balanga,2025,3945982.691454042,245842.17431703344,226761.9445207701,2384450378.140533,151572.14523803064,10.739574746517343,94.22317323191902,0.6,0.6,0.2,True,True,True,True,True,True,True,367424.4823086366,Iba Fault,61.8,City,Medium,Medium,Low,,Flood risk — Level: Medium (index 0.40),Storm-surge risk — Level: Medium (index 0.60),Landslide risk — Level: Low (index 0.20),Fault proximity — Level: Low (index 0.03),Flood risk Level: Medium (index 0.40),Storm-surge risk Level: Medium (index 0.60),Landslide risk Level: Low (index 0.20),Fault proximity Level: Low (index 0.03),"Flood: Medium (NOAH level 2/3, index 0.60)",0.5,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: Medium (NOAH level 2/3, index 0.60)",0.5,Medium,Medium,Low,0.0,Low,367424.4823086366,367424.4823086366,549739.3761964802,balanga,bataan,balanga,,"Flood: Medium (NOAH level 2/3, index 0.60)","StormSurge: Medium (NOAH level 2/3, index 0.60)","Landslide: Low (NOAH level 1/3, index 0.20)"
Region III,Bataan,Balanga,2026,4011074.343180965,251691.1634751231,230958.08608127307,2457992555.0274963,151928.13064046146,10.543828548059404,94.22317323191902,0.6,0.6,0.2,True,True,True,True,True,True,True,380419.1546645744,Iba Fault,61.8,City,Medium,Medium,Low,,Flood risk — Level: Medium (index 0.40),Storm-surge risk — Level: Medium (index 0.60),Landslide risk — Level: Low (index 0.20),Fault proximity — Level: Low (index 0.03),Flood risk Level: Medium (index 0.40),Storm-surge risk Level: Medium (index 0.60),Landslide risk Level: Low (index 0.20),Fault proximity Level: Low (index 0.03),"Flood: Medium (NOAH level 2/3, index 0.60)",0.5,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: Medium (NOAH level 2/3, index 0.60)",0.5,Medium,Medium,Low,0.0,Low,380419.1546645744,380419.1546645744,572264.4606546622,balanga,bataan,balanga,,"Flood: Medium (NOAH level 2/3, index 0.60)","StormSurge: Medium (NOAH level 2/3, index 0.60)","Landslide: Low (NOAH level 1/3, index 0.20)"
Region III,Bataan,Balanga,2027,4075414.379218891,257678.14338174468,235231.04320276235,2531534731.9144287,152284.95211739992,10.34696896120731,94.22317323191902,0.6,0.6,0.2,True,True,True,True,True,True,True,393875.1913239876,Iba Fault,61.8,City,Medium,Medium,Low,,Flood risk — Level: Medium (index 0.40),Storm-surge risk — Level: Medium (index 0.60),Landslide risk — Level: Low (index 0.20),Fault proximity — Level: Low (index 0.03),Flood risk Level: Medium (index 0.40),Storm-surge risk Level: Medium (index 0.60),Landslide risk Level: Low (index 0.20),Fault proximity Level: Low (index 0.03),"Flood: Medium (NOAH level 2/3, index 0.60)",0.5,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: Medium (NOAH level 2/3, index 0.60)",0.5,Medium,Medium,Low,0.0,Low,393875.1913239876,393875.1913239876,595712.4905153749,balanga,bataan,balanga,,"Flood: Medium (NOAH level 2/3, index 0.60)","StormSurge: Medium (NOAH level 2/3, index 0.60)","Landslide: Low (NOAH level 1/3, index 0.20)"
Region III,Bataan,Balanga,2028,4139038.837234794,263806.3418265387,239582.2067035313,2605076908.801392,152642.61163246777,10.149453497300206,94.22317323191902,0.6,0.6,0.2,True,True,True,True,True,True,True,407809.03507127694,Iba Fault,61.8,City,Medium,Medium,Low,,Flood risk — Level: Medium (index 0.40),Storm-surge risk — Level: Medium (index 0.60),Landslide risk — Level: Low (index 0.20),Fault proximity — Level: Low (index 0.03),Flood risk Level: Medium (index 0.40),Storm-surge risk Level: Medium (index 0.60),Landslide risk Level: Low (index 0.20),Fault proximity Level: Low (index 0.03),"Flood: Medium (NOAH level 2/3, index 0.60)",0.5,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: Medium (NOAH level 2/3, index 0.60)",0.5,Medium,Medium,Low,0.0,Low,407809.03507127694,407809.03507127694,620121.2826497357,balanga,bataan,balanga,,"Flood: Medium (NOAH level 2/3, index 0.60)","StormSurge: Medium (NOAH level 2/3, index 0.60)","Landslide: Low (NOAH level 1/3, index 0.20)"
Region III,Bataan,Balanga,2029,4201981.197096017,270079.0614481084,244012.99230260224,2678619085.6883545,153001.1111538983,9.951695523429514,94.22317323191902,0.6,0.6,0.2,True,True,True,True,True,True,True,422237.7168999185,Iba Fault,61.8,City,Medium,Medium,Low,,Flood risk — Level: Medium (index 0.40),Storm-surge risk — Level: Medium (index 0.60),Landslide risk — Level: Low (index 0.20),Fault proximity — Level: Low (index 0.03),Flood risk Level: Medium (index 0.40),Storm-surge risk Level: Medium (index 0.60),Landslide risk Level: Low (index 0.20),Fault proximity Level: Low (index 0.03),"Flood: Medium (NOAH level 2/3, index 0.60)",0.5,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: Medium (NOAH level 2/3, index 0.60)",0.5,Medium,Medium,Low,0.0,Low,422237.7168999185,422237.7168999185,645530.2034417075,balanga,bataan,balanga,,"Flood: Medium (NOAH level 2/3, index 0.60)","StormSurge: Medium (NOAH level 2/3, index 0.60)","Landslide: Low (NOAH level 1/3, index 0.20)"
