Area_slug,Area_display,Region,Year,Employment_Rate,Employment_Source
batangas,Batangas,Region IV-A (Calabarzon),2024,94.54962727552763,"PSA Employment Rate (Jul2024/avg2025, regional)"
batangas,Batangas,Region IV-A (Calabarzon),2025,94.00634577243092,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
batangas,Batangas,Region IV-A (Calabarzon),2026,93.62157482978908,"PSA Employment Rate (avg2025 + small drift, regional)"
batangas,Batangas,Region IV-A (Calabarzon),2027,93.23680388714726,"PSA Employment Rate (avg2025 + small drift, regional)"
batangas,Batangas,Region IV-A (Calabarzon),2028,92.85203294450542,"PSA Employment Rate (avg2025 + small drift, regional)"
batangas,Batangas,Region IV-A (Calabarzon),2029,92.4672620018636,"PSA Employment Rate (avg2025 + small drift, regional)"
bulacan,Bulacan,Region III (Central Luzon),2024,96.15207164537787,"PSA Employment Rate (Jul2024/avg2025, regional)"
bulacan,Bulacan,Region III (Central Luzon),2025,96.05691563207397,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
bulacan,Bulacan,Region III (Central Luzon),2026,95.78048410814708,"PSA Employment Rate (avg2025 + small drift, regional)"
bulacan,Bulacan,Region III (Central Luzon),2027,95.50405258422018,"PSA Employment Rate (avg2025 + small drift, regional)"
bulacan,Bulacan,Region III (Central Luzon),2028,95.22762106029329,"PSA Employment Rate (avg2025 + small drift, regional)"
bulacan,Bulacan,Region III (Central Luzon),2029,94.95118953636639,"PSA Employment Rate (avg2025 + small drift, regional)"
caloocan,Caloocan,NCR,2024,93.47506383067945,"PSA Employment Rate (Jul2024/avg2025, regional)"
caloocan,Caloocan,NCR,2025,94.9712826331586,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
caloocan,Caloocan,NCR,2026,95.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
caloocan,Caloocan,NCR,2027,95.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
caloocan,Caloocan,NCR,2028,96.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
caloocan,Caloocan,NCR,2029,96.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
cavite,Cavite,Region IV-A (Calabarzon),2024,94.54962727552763,"PSA Employment Rate (Jul2024/avg2025, regional)"
cavite,Cavite,Region IV-A (Calabarzon),2025,94.00634577243092,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
cavite,Cavite,Region IV-A (Calabarzon),2026,93.62157482978908,"PSA Employment Rate (avg2025 + small drift, regional)"
cavite,Cavite,Region IV-A (Calabarzon),2027,93.23680388714726,"PSA Employment Rate (avg2025 + small drift, regional)"
cavite,Cavite,Region IV-A (Calabarzon),2028,92.85203294450542,"PSA Employment Rate (avg2025 + small drift, regional)"
cavite,Cavite,Region IV-A (Calabarzon),2029,92.4672620018636,"PSA Employment Rate (avg2025 + small drift, regional)"
laguna,Laguna,Region IV-A (Calabarzon),2024,94.54962727552763,"PSA Employment Rate (Jul2024/avg2025, regional)"
laguna,Laguna,Region IV-A (Calabarzon),2025,94.00634577243092,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
laguna,Laguna,Region IV-A (Calabarzon),2026,93.62157482978908,"PSA Employment Rate (avg2025 + small drift, regional)"
laguna,Laguna,Region IV-A (Calabarzon),2027,93.23680388714726,"PSA Employment Rate (avg2025 + small drift, regional)"
laguna,Laguna,Region IV-A (Calabarzon),2028,92.85203294450542,"PSA Employment Rate (avg2025 + small drift, regional)"
laguna,Laguna,Region IV-A (Calabarzon),2029,92.4672620018636,"PSA Employment Rate (avg2025 + small drift, regional)"
las pinas,Las Piñas,NCR,2024,93.47506383067945,"PSA Employment Rate (Jul2024/avg2025, regional)"
las pinas,Las Piñas,NCR,2025,94.9712826331586,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
las pinas,Las Piñas,NCR,2026,95.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
las pinas,Las Piñas,NCR,2027,95.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
las pinas,Las Piñas,NCR,2028,96.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
las pinas,Las Piñas,NCR,2029,96.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
lucena,Lucena,Region IV-A (Calabarzon),2024,94.54962727552763,"PSA Employment Rate (Jul2024/avg2025, regional)"
lucena,Lucena,Region IV-A (Calabarzon),2025,94.00634577243092,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
lucena,Lucena,Region IV-A (Calabarzon),2026,93.62157482978908,"PSA Employment Rate (avg2025 + small drift, regional)"
lucena,Lucena,Region IV-A (Calabarzon),2027,93.23680388714726,"PSA Employment Rate (avg2025 + small drift, regional)"
lucena,Lucena,Region IV-A (Calabarzon),2028,92.85203294450542,"PSA Employment Rate (avg2025 + small drift, regional)"
lucena,Lucena,Region IV-A (Calabarzon),2029,92.4672620018636,"PSA Employment Rate (avg2025 + small drift, regional)"
makati,Makati,NCR,2024,93.47506383067945,"PSA Employment Rate (Jul2024/avg2025, regional)"
makati,Makati,NCR,2025,94.9712826331586,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
makati,Makati,NCR,2026,95.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
makati,Makati,NCR,2027,95.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
makati,Makati,NCR,2028,96.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
makati,Makati,NCR,2029,96.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
malabon,Malabon,NCR,2024,93.47506383067945,"PSA Employment Rate (Jul2024/avg2025, regional)"
malabon,Malabon,NCR,2025,94.9712826331586,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
malabon,Malabon,NCR,2026,95.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
malabon,Malabon,NCR,2027,95.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
malabon,Malabon,NCR,2028,96.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
malabon,Malabon,NCR,2029,96.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
mandaluyong,Mandaluyong,NCR,2024,93.47506383067945,"PSA Employment Rate (Jul2024/avg2025, regional)"
mandaluyong,Mandaluyong,NCR,2025,94.9712826331586,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
mandaluyong,Mandaluyong,NCR,2026,95.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
mandaluyong,Mandaluyong,NCR,2027,95.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
mandaluyong,Mandaluyong,NCR,2028,96.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
mandaluyong,Mandaluyong,NCR,2029,96.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
manila,Manila,NCR,2024,93.47506383067945,"PSA Employment Rate (Jul2024/avg2025, regional)"
manila,Manila,NCR,2025,94.9712826331586,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
manila,Manila,NCR,2026,95.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
manila,Manila,NCR,2027,95.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
manila,Manila,NCR,2028,96.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
manila,Manila,NCR,2029,96.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
marikina,Marikina,NCR,2024,93.47506383067945,"PSA Employment Rate (Jul2024/avg2025, regional)"
marikina,Marikina,NCR,2025,94.9712826331586,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
marikina,Marikina,NCR,2026,95.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
marikina,Marikina,NCR,2027,95.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
marikina,Marikina,NCR,2028,96.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
marikina,Marikina,NCR,2029,96.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
muntinlupa,Muntinlupa,NCR,2024,93.47506383067945,"PSA Employment Rate (Jul2024/avg2025, regional)"
muntinlupa,Muntinlupa,NCR,2025,94.9712826331586,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
muntinlupa,Muntinlupa,NCR,2026,95.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
muntinlupa,Muntinlupa,NCR,2027,95.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
muntinlupa,Muntinlupa,NCR,2028,96.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
muntinlupa,Muntinlupa,NCR,2029,96.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
navotas,Navotas,NCR,2024,93.47506383067945,"PSA Employment Rate (Jul2024/avg2025, regional)"
navotas,Navotas,NCR,2025,94.9712826331586,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
navotas,Navotas,NCR,2026,95.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
navotas,Navotas,NCR,2027,95.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
navotas,Navotas,NCR,2028,96.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
navotas,Navotas,NCR,2029,96.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
nueva ecija,Nueva Ecija,Region III (Central Luzon),2024,96.15207164537787,"PSA Employment Rate (Jul2024/avg2025, regional)"
nueva ecija,Nueva Ecija,Region III (Central Luzon),2025,96.05691563207397,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
nueva ecija,Nueva Ecija,Region III (Central Luzon),2026,95.78048410814708,"PSA Employment Rate (avg2025 + small drift, regional)"
nueva ecija,Nueva Ecija,Region III (Central Luzon),2027,95.50405258422018,"PSA Employment Rate (avg2025 + small drift, regional)"
nueva ecija,Nueva Ecija,Region III (Central Luzon),2028,95.22762106029329,"PSA Employment Rate (avg2025 + small drift, regional)"
nueva ecija,Nueva Ecija,Region III (Central Luzon),2029,94.95118953636639,"PSA Employment Rate (avg2025 + small drift, regional)"
olongapo,Olongapo,Region III (Central Luzon),2024,96.15207164537787,"PSA Employment Rate (Jul2024/avg2025, regional)"
olongapo,Olongapo,Region III (Central Luzon),2025,96.05691563207397,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
olongapo,Olongapo,Region III (Central Luzon),2026,95.78048410814708,"PSA Employment Rate (avg2025 + small drift, regional)"
olongapo,Olongapo,Region III (Central Luzon),2027,95.50405258422018,"PSA Employment Rate (avg2025 + small drift, regional)"
olongapo,Olongapo,Region III (Central Luzon),2028,95.22762106029329,"PSA Employment Rate (avg2025 + small drift, regional)"
olongapo,Olongapo,Region III (Central Luzon),2029,94.95118953636639,"PSA Employment Rate (avg2025 + small drift, regional)"
pampanga,Pampanga,Region III (Central Luzon),2024,96.15207164537787,"PSA Employment Rate (Jul2024/avg2025, regional)"
pampanga,Pampanga,Region III (Central Luzon),2025,96.05691563207397,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
pampanga,Pampanga,Region III (Central Luzon),2026,95.78048410814708,"PSA Employment Rate (avg2025 + small drift, regional)"
pampanga,Pampanga,Region III (Central Luzon),2027,95.50405258422018,"PSA Employment Rate (avg2025 + small drift, regional)"
pampanga,Pampanga,Region III (Central Luzon),2028,95.22762106029329,"PSA Employment Rate (avg2025 + small drift, regional)"
pampanga,Pampanga,Region III (Central Luzon),2029,94.95118953636639,"PSA Employment Rate (avg2025 + small drift, regional)"
paranaque,Parañaque,NCR,2024,93.47506383067945,"PSA Employment Rate (Jul2024/avg2025, regional)"
paranaque,Parañaque,NCR,2025,94.9712826331586,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
paranaque,Parañaque,NCR,2026,95.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
paranaque,Parañaque,NCR,2027,95.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
paranaque,Parañaque,NCR,2028,96.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
paranaque,Parañaque,NCR,2029,96.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
pasay city,Pasay City,NCR,2024,93.47506383067945,"PSA Employment Rate (Jul2024/avg2025, regional)"
pasay city,Pasay City,NCR,2025,94.9712826331586,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
pasay city,Pasay City,NCR,2026,95.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
pasay city,Pasay City,NCR,2027,95.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
pasay city,Pasay City,NCR,2028,96.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
pasay city,Pasay City,NCR,2029,96.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
pasig,Pasig,NCR,2024,93.47506383067945,"PSA Employment Rate (Jul2024/avg2025, regional)"
pasig,Pasig,NCR,2025,94.9712826331586,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
pasig,Pasig,NCR,2026,95.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
pasig,Pasig,NCR,2027,95.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
pasig,Pasig,NCR,2028,96.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
pasig,Pasig,NCR,2029,96.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
pateros,Pateros,NCR,2024,93.47506383067945,"PSA Employment Rate (Jul2024/avg2025, regional)"
pateros,Pateros,NCR,2025,94.9712826331586,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
pateros,Pateros,NCR,2026,95.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
pateros,Pateros,NCR,2027,95.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
pateros,Pateros,NCR,2028,96.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
pateros,Pateros,NCR,2029,96.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
quezon,Quezon,Region IV-A (Calabarzon),2024,94.54962727552763,"PSA Employment Rate (Jul2024/avg2025, regional)"
quezon,Quezon,Region IV-A (Calabarzon),2025,94.00634577243092,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
quezon,Quezon,Region IV-A (Calabarzon),2026,93.62157482978908,"PSA Employment Rate (avg2025 + small drift, regional)"
quezon,Quezon,Region IV-A (Calabarzon),2027,93.23680388714726,"PSA Employment Rate (avg2025 + small drift, regional)"
quezon,Quezon,Region IV-A (Calabarzon),2028,92.85203294450542,"PSA Employment Rate (avg2025 + small drift, regional)"
quezon,Quezon,Region IV-A (Calabarzon),2029,92.4672620018636,"PSA Employment Rate (avg2025 + small drift, regional)"
quezon city,Quezon City,NCR,2024,93.47506383067945,"PSA Employment Rate (Jul2024/avg2025, regional)"
quezon city,Quezon City,NCR,2025,94.9712826331586,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
quezon city,Quezon City,NCR,2026,95.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
quezon city,Quezon City,NCR,2027,95.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
quezon city,Quezon City,NCR,2028,96.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
quezon city,Quezon City,NCR,2029,96.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
rizal,Rizal,Region IV-A (Calabarzon),2024,94.54962727552763,"PSA Employment Rate (Jul2024/avg2025, regional)"
rizal,Rizal,Region IV-A (Calabarzon),2025,94.00634577243092,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
rizal,Rizal,Region IV-A (Calabarzon),2026,93.62157482978908,"PSA Employment Rate (avg2025 + small drift, regional)"
rizal,Rizal,Region IV-A (Calabarzon),2027,93.23680388714726,"PSA Employment Rate (avg2025 + small drift, regional)"
rizal,Rizal,Region IV-A (Calabarzon),2028,92.85203294450542,"PSA Employment Rate (avg2025 + small drift, regional)"
rizal,Rizal,Region IV-A (Calabarzon),2029,92.4672620018636,"PSA Employment Rate (avg2025 + small drift, regional)"
san juan,San Juan,NCR,2024,93.47506383067945,"PSA Employment Rate (Jul2024/avg2025, regional)"
san juan,San Juan,NCR,2025,94.9712826331586,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
san juan,San Juan,NCR,2026,95.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
san juan,San Juan,NCR,2027,95.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
san juan,San Juan,NCR,2028,96.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
san juan,San Juan,NCR,2029,96.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
taguig,Taguig,NCR,2024,93.47506383067945,"PSA Employment Rate (Jul2024/avg2025, regional)"
taguig,Taguig,NCR,2025,94.9712826331586,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
taguig,Taguig,NCR,2026,95.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
taguig,Taguig,NCR,2027,95.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
taguig,Taguig,NCR,2028,96.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
taguig,Taguig,NCR,2029,96.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
tarlac,Tarlac,Region III (Central Luzon),2024,96.15207164537787,"PSA Employment Rate (Jul2024/avg2025, regional)"
tarlac,Tarlac,Region III (Central Luzon),2025,96.05691563207397,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
tarlac,Tarlac,Region III (Central Luzon),2026,95.78048410814708,"PSA Employment Rate (avg2025 + small drift, regional)"
tarlac,Tarlac,Region III (Central Luzon),2027,95.50405258422018,"PSA Employment Rate (avg2025 + small drift, regional)"
tarlac,Tarlac,Region III (Central Luzon),2028,95.22762106029329,"PSA Employment Rate (avg2025 + small drift, regional)"
tarlac,Tarlac,Region III (Central Luzon),2029,94.95118953636639,"PSA Employment Rate (avg2025 + small drift, regional)"
valenzuela,Valenzuela,NCR,2024,93.47506383067945,"PSA Employment Rate (Jul2024/avg2025, regional)"
valenzuela,Valenzuela,NCR,2025,94.9712826331586,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
valenzuela,Valenzuela,NCR,2026,95.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
valenzuela,Valenzuela,NCR,2027,95.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
valenzuela,Valenzuela,NCR,2028,96.4712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
valenzuela,Valenzuela,NCR,2029,96.9712826331586,"PSA Employment Rate (avg2025 + small drift, regional)"
zambales,Zambales,Region III (Central Luzon),2024,96.15207164537787,"PSA Employment Rate (Jul2024/avg2025, regional)"
zambales,Zambales,Region III (Central Luzon),2025,96.05691563207397,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
zambales,Zambales,Region III (Central Luzon),2026,95.78048410814708,"PSA Employment Rate (avg2025 + small drift, regional)"
zambales,Zambales,Region III (Central Luzon),2027,95.50405258422018,"PSA Employment Rate (avg2025 + small drift, regional)"
zambales,Zambales,Region III (Central Luzon),2028,95.22762106029329,"PSA Employment Rate (avg2025 + small drift, regional)"
zambales,Zambales,Region III (Central Luzon),2029,94.95118953636639,"PSA Employment Rate (avg2025 + small drift, regional)"
