Region,Region_std,Province,City,geo_source_for_demand,households_single_duplex_2020,units_single_duplex_2020,single_house_households_2020,single_house_occupied_units_2020,duplex_households_2020,duplex_occupied_units_2020,CAGR_occ_2015_2020,households_single_duplex_2024,units_single_duplex_2024,single_house_households_2024,single_house_occupied_units_2024,duplex_households_2024,duplex_occupied_units_2024,CAGR_occ_2015_2020,growth_rate_used_value,growth_rate_used_basis,growth_rate_geo_source,years_used_from,years_used_to
Region III (Central Luzon),Region III (Central Luzon),Nueva Ecija,Palayan City,province,558224,532052,539001,513407,19223,18645,0.028605307,624890,595592,603371,574721,21519,20872,0.028605307,0.028605307,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region III (Central Luzon),Region III (Central Luzon),Nueva Ecija,San Jose City,province,558224,532052,539001,513407,19223,18645,0.028605307,624890,595592,603371,574721,21519,20872,0.028605307,0.028605307,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region III (Central Luzon),Region III (Central Luzon),Nueva Ecija,Science City of Munoz,province,558224,532052,539001,513407,19223,18645,0.028605307,624890,595592,603371,574721,21519,20872,0.028605307,0.028605307,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region III (Central Luzon),Region III (Central Luzon),Pampanga,Angeles City,city,102225,95961,96350,90348,5875,5613,0.028605307,114433,107421,107857,101138,6577,6283,0.028605307,0.028605307,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region III (Central Luzon),Region III (Central Luzon),Pampanga,Mabalacat City,province,533432,501581,510491,479636,22941,21945,0.028605307,597137,561482,571456,536917,25681,24566,0.028605307,0.028605307,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region III (Central Luzon),Region III (Central Luzon),Pampanga,San Fernando City,province,533432,501581,510491,479636,22941,21945,0.028605307,597137,561482,571456,536917,25681,24566,0.028605307,0.028605307,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region III (Central Luzon),Region III (Central Luzon),Tarlac,Tarlac City,province,348934,340007,335164,326486,13770,13521,0.028605307,390605,380612,375191,365477,15414,15136,0.028605307,0.028605307,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region III (Central Luzon),Region III (Central Luzon),Zambales,Olongapo City,city,50087,48302,45367,43788,4720,4514,0.028605307,56069,54070,50785,49017,5284,5053,0.028605307,0.028605307,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Batangas,Batangas City,province,645129,607384,610659,574697,34470,32687,0.029918329,725868,683399,687084,646621,38784,36778,0.029918329,0.029918329,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Batangas,Lipa City,province,645129,607384,610659,574697,34470,32687,0.029918329,725868,683399,687084,646621,38784,36778,0.029918329,0.029918329,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Batangas,Tanauan City,province,645129,607384,610659,574697,34470,32687,0.029918329,725868,683399,687084,646621,38784,36778,0.029918329,0.029918329,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Cavite,Bacoor City,province,767938,721929,662914,621682,105024,100247,0.029918329,864047,812280,745879,699487,118168,112793,0.029918329,0.029918329,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Cavite,Cavite City,province,767938,721929,662914,621682,105024,100247,0.029918329,864047,812280,745879,699487,118168,112793,0.029918329,0.029918329,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Cavite,City of Carmona,province,767938,721929,662914,621682,105024,100247,0.029918329,864047,812280,745879,699487,118168,112793,0.029918329,0.029918329,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Cavite,Dasmarinas City,province,767938,721929,662914,621682,105024,100247,0.029918329,864047,812280,745879,699487,118168,112793,0.029918329,0.029918329,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Cavite,General Trias City,province,767938,721929,662914,621682,105024,100247,0.029918329,864047,812280,745879,699487,118168,112793,0.029918329,0.029918329,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Cavite,Imus City,province,767938,721929,662914,621682,105024,100247,0.029918329,864047,812280,745879,699487,118168,112793,0.029918329,0.029918329,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Cavite,Tagaytay City,province,767938,721929,662914,621682,105024,100247,0.029918329,864047,812280,745879,699487,118168,112793,0.029918329,0.029918329,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Cavite,Trece Martires City,province,767938,721929,662914,621682,105024,100247,0.029918329,864047,812280,745879,699487,118168,112793,0.029918329,0.029918329,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Laguna,Binan City,province,679825,625229,616880,567636,62945,57593,0.029918329,764906,703478,694084,638677,70823,64801,0.029918329,0.029918329,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Laguna,Cabuyao City,province,679825,625229,616880,567636,62945,57593,0.029918329,764906,703478,694084,638677,70823,64801,0.029918329,0.029918329,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Laguna,Calamba City,province,679825,625229,616880,567636,62945,57593,0.029918329,764906,703478,694084,638677,70823,64801,0.029918329,0.029918329,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Laguna,San Pablo City,province,679825,625229,616880,567636,62945,57593,0.029918329,764906,703478,694084,638677,70823,64801,0.029918329,0.029918329,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Laguna,San Pedro City,province,679825,625229,616880,567636,62945,57593,0.029918329,764906,703478,694084,638677,70823,64801,0.029918329,0.029918329,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Laguna,Santa Rosa City,province,679825,625229,616880,567636,62945,57593,0.029918329,764906,703478,694084,638677,70823,64801,0.029918329,0.029918329,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Quezon,Lucena City,city,61829,58874,59035,56203,2794,2671,0.029918329,69567,66242,66423,63237,3144,3005,0.029918329,0.029918329,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Quezon,Tayabas City,province,469476,449681,454656,435565,14820,14116,0.029918329,528232,505959,511557,490077,16675,15883,0.029918329,0.029918329,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
Region IV-A (CALABARZON),Region IV-A (CALABARZON),Rizal,Antipolo City,province,650420,618379,615189,584757,35231,33622,0.029918329,731821,695770,692181,657940,39640,37830,0.029918329,0.029918329,PSA Occupied Housing Units CAGR (2015-2020),region_fallback,2020,2024
