column,type,description
Amort_15yr,float64,Monthly amortization for 15-year term (PHP).
Amort_20yr,float64,Monthly amortization for 20-year term (PHP).
Amort_25yr,float64,Monthly amortization for 25-year term (PHP).
Amort_30yr,float64,Monthly amortization for 30-year term (PHP).
rate_snapshot_date,object,Metadata or passthrough field used for diagnostics or audit.
rate_1yr,float64,Metadata or passthrough field used for diagnostics or audit.
rate_3yr,float64,Metadata or passthrough field used for diagnostics or audit.
rate_5yr,float64,Metadata or passthrough field used for diagnostics or audit.
rate_10yr,float64,Metadata or passthrough field used for diagnostics or audit.
rate_15yr,float64,Metadata or passthrough field used for diagnostics or audit.
rate_20yr,float64,Metadata or passthrough field used for diagnostics or audit.
rate_25yr,float64,Metadata or passthrough field used for diagnostics or audit.
rate_30yr,float64,Metadata or passthrough field used for diagnostics or audit.
MonthlyIncome,float64,Metadata or passthrough field used for diagnostics or audit.
IPR_1yr,float64,IPR using 1-year term amortization.
IPR_3yr,float64,IPR using 3-year term amortization.
IPR_5yr,float64,IPR using 5-year term amortization.
IPR_10yr,float64,IPR using 10-year term amortization.
IPR_15yr,float64,IPR using 15-year term amortization.
IPR_20yr,float64,Income-to-Payment Ratio at 20-year term; (Income per HH / 12) divided by scenario amortization.
IPR_25yr,float64,IPR using 25-year term amortization.
IPR_30yr,float64,IPR using 30-year term amortization.
AffordabilityScore,float64,Legacy name for FeasibilityScore in earlier files.
EconomyScore,float64,0–1 score combining employment and GRDP per capita (0.60/0.40).
DemandScore,float64,0–1 score from occupied single/duplex housing units (region-level).
HazardSafety_NoFault,float64,1 − HazardRisk_NoFault; composite safety excluding fault distance (gate-only).
ProfitabilityScore,float64,Composite: 0.40*EconomyScore + 0.40*Feasibility/Affordability + 0.20*DemandScore (base).
FinalCityScore,float64,0.50*ProfitabilityScore + 0.50*HazardSafety_NoFault (base).
FloodRisk,float64,Scaled flood exposure: (Flood Level − 1)/2.
StormSurgeRisk,float64,Scaled storm surge exposure: (Storm Surge Level − 1)/2.
LandslideRisk,float64,Scaled landslide exposure: (Landslide Level − 1)/2.
RISK_HydroRisk,float64,Hydrometeorological risk: 0.5*FloodRisk + 0.5*StormSurgeRisk.
EarthquakeRisk,float64,0.45*norm(M≥5 count) + 0.35*norm(freq) + 0.20*(1 − norm(depth)).
HazardRisk_NoFault,float64,0.40*EarthquakeRisk + 0.40*RISK_HydroRisk + 0.20*LandslideRisk.
