Area_slug,Area_display,Region,Flood_Index_0to1,Landslide_Index_0to1,StormSurge_Index_0to1,Fault_Proximity_Index,Hydromet_Index_0to1,HazardScore,Flood_Level,Flood_Level_Num,Flood_Why,Landslide_Level,Landslide_Level_Num,Landslide_Why,StormSurge_Level,StormSurge_Level_Num,StormSurge_Why,Nearest_Fault_Name,Fault_Distance_km,Hazard_Tooltip_Short
pasay city,Pasay City,NCR,0.2,0.2,0.2,0.4347826086956522,0.2,0.2939130434782609,Low,1.0,Low (computed): flood index ~ 0.2,Low,1.0,Low (computed): landslide index ~ 0.2,Low,1.0,Low (computed): storm surge index ~ 0.2,,,Flood: Low | Surge: Low | Landslide: Low
pasig,Pasig,NCR,0.2,0.2,0.2,1.0,0.2,0.52,Low,1.0,Low (NOAH): shallow flooding; ~<=0.5 m depth.,Low,1.0,Low (NOAH): generally stable; standard precautions.,Low,1.0,Low (NOAH): minor storm surge potential; shallow inundation.,,0.0,Flood: Low | Surge: Low | Landslide: Low | Fault: nearest fault ~0.0 km
pateros,Pateros,NCR,0.6,0.2,0.2,1.0,0.4,0.6000000000000001,Medium,2.0,Medium (NOAH): moderate flooding; ~0.5-1.5 m depth and/or notable flow.,Low,1.0,Low (NOAH): generally stable; standard precautions.,Low,1.0,Low (NOAH): minor storm surge potential; shallow inundation.,,0.487,Flood: Medium | Surge: Low | Landslide: Low | Fault: nearest fault ~0.5 km
quezon,Quezon,Region IV-A (Calabarzon),0.6,0.2,0.6,1.0,0.6,0.68,Medium,2.0,Medium (computed): flood index ~ 0.6,Low,1.0,Low (computed): landslide index ~ 0.2,Medium,2.0,Medium (computed): storm surge index ~ 0.6,,0.0,Flood: Medium | Surge: Medium | Landslide: Low | Fault: nearest fault ~0.0 km
quezon city,Quezon City,NCR,0.2,0.2,0.2,0.4347826086956522,0.2,0.2939130434782609,Low,1.0,Low (NOAH): shallow flooding; ~<=0.5 m depth.,Low,1.0,Low (NOAH): generally stable; standard precautions.,Low,1.0,Low (NOAH): minor storm surge potential; shallow inundation.,,,Flood: Low | Surge: Low | Landslide: Low
rizal,Rizal,Region IV-A (Calabarzon),0.6,0.2,0.6,0.0991654393716249,0.6,0.3196661757486499,Medium,2.0,Medium (computed): flood index ~ 0.6,Low,1.0,Low (computed): landslide index ~ 0.2,Medium,2.0,Medium (computed): storm surge index ~ 0.6,,,Flood: Medium | Surge: Medium | Landslide: Low
san juan,San Juan,NCR,0.2,0.2,0.2,0.3448275862068966,0.2,0.2579310344827586,Low,1.0,Low (NOAH): shallow flooding; ~<=0.5 m depth.,Low,1.0,Low (NOAH): generally stable; standard precautions.,Low,1.0,Low (NOAH): minor storm surge potential; shallow inundation.,,2.9,Flood: Low | Surge: Low | Landslide: Low | Fault: nearest fault ~2.9 km
taguig,Taguig,NCR,0.2,0.2,0.2,1.0,0.2,0.52,Low,1.0,Low (NOAH): shallow flooding; ~<=0.5 m depth.,Low,1.0,Low (NOAH): generally stable; standard precautions.,Low,1.0,Low (NOAH): minor storm surge potential; shallow inundation.,,0.0,Flood: Low | Surge: Low | Landslide: Low | Fault: nearest fault ~0.0 km
tarlac,Tarlac,Region III (Central Luzon),0.4,0.2,0.6,0.032288963045359,0.5,0.2529155852181436,Medium,2.0,Medium (computed): flood index ~ 0.4,Low,1.0,Low (computed): landslide index ~ 0.2,Medium,2.0,Medium (computed): storm surge index ~ 0.6,,,Flood: Medium | Surge: Medium | Landslide: Low
valenzuela,Valenzuela,NCR,0.2,0.2,0.2,0.108695652173913,0.2,0.1634782608695652,Low,1.0,Low (NOAH): shallow flooding; ~<=0.5 m depth.,Low,1.0,Low (NOAH): generally stable; standard precautions.,Low,1.0,Low (NOAH): minor storm surge potential; shallow inundation.,,9.2,Flood: Low | Surge: Low | Landslide: Low | Fault: nearest fault ~9.2 km
zambales,Zambales,Region III (Central Luzon),0.4,0.2,0.6,0.032288963045359,0.5,0.2529155852181436,Medium,2.0,Medium (computed): flood index ~ 0.4,Low,1.0,Low (computed): landslide index ~ 0.2,Medium,2.0,Medium (computed): storm surge index ~ 0.6,,,Flood: Medium | Surge: Medium | Landslide: Low
