Region,Province,City,year,EconomyScore,DemandScore,AffordabilityScore,ProfitabilityScore,HazardSafety_NoFault,FinalCityScore,GRDP_grdp_pc_2024_const,INC_income_per_hh_2024,DEM_households_single_duplex_2024,DEM_units_single_duplex_2024,RISK_Risk_Gate,RISK_Fault_Distance_km,RISK_Nearest_Fault_Name,RISK_Flood_Level_Num,RISK_StormSurge_Level_Num,RISK_Landslide_Level_Num,RISK_Flood_Level_Tip,RISK_StormSurge_Level_Tip,RISK_Landslide_Level_Tip,RISK_Risk_Gate_Tip,RISK_Risk_Gate_Reasons_ASCII,RISK_events_50km,RISK_m5plus_50km,RISK_avg_mag_50km,RISK_events_50km_per_year,RISK_avg_depth_km_50km,RISK_EarthquakeRisk,RISK_HydroMean,RISK_HazardSafetyIndex
Region IV-A (CALABARZON),Cavite,Trece Martires City,2024,0.014289166,1,0.361294612,0.458527926,0.859006229,0.658767078,192048,494056.7266,864047,812280,REVIEW,15,Valley Fault System,1,1,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Elevated earthquake activity: events/yr 140 (=160.0),1485,1,2.26,160,50.19,0.674159818,0.333333333,0.530336073
NCR,NCR,Taguig City,2024,0.614204132,0.164062618,0.432590414,0.403619055,0.91382972,0.658724388,503483,539993.4407,163009,147887,REVIEW,0,Valley Fault System,1,1,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Active fault trace crosses city micro-siting required (avoid rupture buffer),244,0,2.19,31,20.12,0.764755668,0.333333333,0.494097733
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,0.062984419,0.930396533,0.197941873,0.397107609,0.919008694,0.658058151,191874,388806.6576,807708,756960,PASS,3.7,Valley Fault System,1,1,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,149,0,2.05,19,19.94,0.681309087,0.333333333,0.527476365
NCR,NCR,Mandaluyong City,2024,0.499016918,0.057280684,0.62802164,0.394773081,0.919466114,0.657119597,503483,665912.0525,68927,63018,PASS,1.9,Valley Fault System,1,1,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,179,0,2.06,23,21.34,0.701966298,0.333333333,0.519213481
Region III (Central Luzon),Bulacan,Meycauayan City,2024,0.028949041,0.930396533,0.197941873,0.385762483,0.92668272,0.656222601,191874,388806.6576,807708,756960,PASS,12.3,Valley Fault System,1,1,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,98,0,1.94,13,22.97,0.557538706,0.333333333,0.576984518
Region IV-A (CALABARZON),Laguna,Cabuyao City,2024,0.080331183,0.863105633,0.368275417,0.437237411,0.869269261,0.653253336,192048,498554.5401,764906,703478,REVIEW,0,Valley Fault System,1,1,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Active fault trace crosses city micro-siting required (avoid rupture buffer),1009,0,2.35,128,19.92,0.873988068,0.333333333,0.450404773
Region IV-A (CALABARZON),Laguna,San Pablo City,2024,0.030628413,0.863105633,0.368275417,0.420669821,0.873243401,0.646956611,192048,498554.5401,764906,703478,PASS,26.6,Valley Fault System,1,1,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,941,0,2.32,120,20.12,0.601626554,0.333333333,0.559349378
Region IV-A (CALABARZON),Cavite,City of Carmona,2024,0.03894624,1,0.361294612,0.466746951,0.771028179,0.618887565,192048,494056.7266,864047,812280,REVIEW,0,Valley Fault System,2,1,1,Flood Level 2 (Medium): 0.5 to 1.5 m or stronger flow; design for raised floors and drainage.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Active fault trace crosses city micro-siting required (avoid rupture buffer),972,0,2.35,124,19.88,0.871447391,0.5,0.384754377
Region III (Central Luzon),Nueva Ecija,San Jose City,2024,0.014206108,0.727363775,0.147368057,0.296312647,0.92781248,0.612062563,191874,356221.3595,624890,595592,REVIEW,0,Philippine Fault,1,1,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Active fault trace crosses city micro-siting required (avoid rupture buffer),294,0,2.11,32,28.98,0.728111205,0.333333333,0.508755518
NCR,NCR,Valenzuela City,2024,0.490202116,0.1421335,0.246653864,0.292996493,0.928035338,0.610515915,503483,420192.3593,142922,130458,PASS,9.2,Valley Fault System,1,1,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,102,0,1.96,13,23.8,0.591997462,0.333333333,0.563201015
NCR,NCR,Paranaque City,2024,0.529413741,0.163448618,0.526632802,0.406498387,0.806744602,0.606621494,503483,600586.0451,157581,147399,PASS,1.2,Valley Fault System,1,2,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 2 (Medium): 0.5 to 1.5 m or depth x velocity 0.5 to 1.5 m2/s.,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,356,0,2.24,45,19.69,0.777212172,0.5,0.422448465
Region IV-A (CALABARZON),Laguna,Santa Rosa City,2024,0.079281245,0.863105633,0.368275417,0.436887432,0.773926465,0.605406948,192048,498554.5401,764906,703478,PASS,1.7,Valley Fault System,2,1,1,Flood Level 2 (Medium): 0.5 to 1.5 m or stronger flow; design for raised floors and drainage.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,904,0,2.35,115,19.14,0.850285293,0.5,0.393219216
NCR,NCR,City of Manila,2024,0.680443095,0.338036055,0.403982506,0.474153885,0.727840614,0.60099725,503483,521561.0328,314658,286159,REVIEW,5.4,Valley Fault System,1,3,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 3 (High): >1.5 m or depth x velocity >1.5 m2/s; elevate or avoid exposed coast.,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",High hydro hazard: StormSurge L3,128,0,2.06,16,24.52,0.658243136,0.666666667,0.403369412
Region IV-A (CALABARZON),Laguna,Binan City,2024,0.064999718,0.863105633,0.368275417,0.432126923,0.767803682,0.599965302,192048,498554.5401,764906,703478,PASS,1.1,Valley Fault System,2,1,1,Flood Level 2 (Medium): 0.5 to 1.5 m or stronger flow; design for raised floors and drainage.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,1033,0,2.34,132,20.14,0.862698652,0.5,0.388253873
Region IV-A (CALABARZON),Laguna,San Pedro City,2024,0.013748388,0.863105633,0.368275417,0.415043146,0.778486726,0.596764936,192048,498554.5401,764906,703478,REVIEW,0,Valley Fault System,2,1,1,Flood Level 2 (Medium): 0.5 to 1.5 m or stronger flow; design for raised floors and drainage.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Active fault trace crosses city micro-siting required (avoid rupture buffer),828,0,2.35,105,19.14,0.860275489,0.5,0.389223138
Region IV-A (CALABARZON),Cavite,Cavite City,2024,0.036116874,1,0.361294612,0.465803829,0.727389884,0.596596856,192048,494056.7266,864047,812280,REVIEW,14.5,Valley Fault System,1,3,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 3 (High): >1.5 m or depth x velocity >1.5 m2/s; elevate or avoid exposed coast.,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",High hydro hazard: StormSurge L3,330,0,2.31,36,29.84,0.645681719,0.666666667,0.408393979
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,0,0.727363775,0.147368057,0.291577277,0.875902165,0.583739721,191874,356221.3595,624890,595592,REVIEW,0,Unnamed Fault,1,1,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Active fault trace crosses city micro-siting required (avoid rupture buffer),273,1,2.08,30,24.18,0.726059212,0.333333333,0.509576315
Region III (Central Luzon),Pampanga,San Fernando City,2024,0.069768506,0.68444667,0.315665999,0.356627059,0.801113022,0.578870041,191874,464657.6808,597137,561482,REVIEW,37.2,Care Fault,1,1,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Elevated earthquake activity: M5 count 3 (=3),475,3,2.18,52,39.67,0.382554409,0.333333333,0.646978236
NCR,NCR,Muntinlupa City,2024,0.50438023,0.106713992,0.478914627,0.363336283,0.790620445,0.576978364,503483,569840.67,112743,102307,REVIEW,0,Valley Fault System,2,1,1,Flood Level 2 (Medium): 0.5 to 1.5 m or stronger flow; design for raised floors and drainage.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Active fault trace crosses city micro-siting required (avoid rupture buffer),619,0,2.33,79,19.31,0.837346051,0.5,0.398394913
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2024,0.039642073,0.727363775,0.147368057,0.304791301,0.847427752,0.576109527,191874,356221.3595,624890,595592,PASS,6,Philippine Fault,1,1,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,310,2,2.17,33,35.16,0.677581803,0.333333333,0.528967279
Region IV-A (CALABARZON),Batangas,Lipa City,2024,0.077994841,0.837842293,0.257403254,0.391080129,0.757021485,0.574050807,192048,427118.3166,725868,683399,REVIEW,21.6,Valley Fault System,1,1,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Elevated earthquake activity: events/yr 140 (=176.0),1631,2,2.33,176,19.7,0.690193928,0.333333333,0.523922429
Region III (Central Luzon),Pampanga,Mabalacat City,2024,0.045103858,0.68444667,0.315665999,0.348405509,0.799112721,0.573759115,191874,464657.6808,597137,561482,REVIEW,28,Care Fault,1,1,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Elevated earthquake activity: M5 count 3 (=3),617,3,2.16,67,42.64,0.471092409,0.333333333,0.611563036
NCR,NCR,Pasay City,2024,0.505985766,0.059736684,0.410844968,0.325522473,0.817674324,0.571598398,503483,525982.5969,74680,64970,PASS,3.7,Valley Fault System,1,2,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 2 (Medium): 0.5 to 1.5 m or depth x velocity 0.5 to 1.5 m2/s.,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,203,0,2.19,26,21.08,0.724011536,0.5,0.443728719
Region IV-A (CALABARZON),Cavite,Tagaytay City,2024,0.005288616,1,0.361294612,0.455527743,0.686292146,0.570909944,192048,494056.7266,864047,812280,REVIEW,3.4,Valley Fault System,1,1,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Elevated earthquake activity: events/yr 140 (=205.0) and M5 count 3 (=4),1910,4,2.26,205,39.64,0.833290049,0.333333333,0.46668398
NCR,NCR,Navotas City,2024,0.426714794,0.043533622,0.112153785,0.194134067,0.939703144,0.566918606,503483,333532.3949,59592,52092,PASS,12.2,Valley Fault System,1,1,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,80,0,1.97,11,30.4,0.553669705,0.333333333,0.578532118
Region IV-A (CALABARZON),Quezon,Tayabas City,2024,0.0211299,0.614587789,0,0.211905896,0.916012071,0.563958984,192048,261270.4068,528232,505959,PASS,2.2,Unnamed Fault,1,1,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,PASS: fault distance > 1 km; all hazards below Level 3; quake metrics below review thresholds.,Fault distance > 1 km; hydro hazards < Level 3; quake frequency/severity below REVIEW thresholds,205,0,2.15,26,20.06,0.728808324,0.333333333,0.50847667
Region IV-A (CALABARZON),Laguna,Calamba City,2024,0.077140202,0.863105633,0.368275417,0.43617375,0.665621888,0.550897819,192048,498554.5401,764906,703478,REVIEW,0,Valley Fault System,3,1,1,Flood Level 3 (High): above 1.5 m or high-velocity flow; avoid or elevate site significantly.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Active fault trace crosses city micro-siting required (avoid rupture buffer); High hydro hazard: Flood L3,1096,0,2.33,139,20.76,0.874070992,0.666666667,0.31703827
Region III (Central Luzon),Tarlac,Tarlac City,2024,0.04002773,0.456876551,0.220619754,0.239174679,0.86077801,0.549976344,191874,403418.28,390605,380612,REVIEW,0,Care Fault,1,1,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 1 (Low): 0.2 to 0.5 m and low depth x velocity (<0.5 m2/s).,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",Active fault trace crosses city micro-siting required (avoid rupture buffer),421,2,2.21,45,46.71,0.736257821,0.333333333,0.505496872
NCR,NCR,Las Pinas City,2024,0.467582343,0.139296265,0.543347373,0.383408661,0.703242784,0.543325722,503483,611355.4376,141591,128203,REVIEW,3.7,Valley Fault System,1,3,1,Flood Level 1 (Low): up to 0.5 m; usually minor. Depth and velocity are both low.,Storm Surge 3 (High): >1.5 m or depth x velocity >1.5 m2/s; elevate or avoid exposed coast.,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",High hydro hazard: StormSurge L3,406,0,2.29,52,19.5,0.772095937,0.666666667,0.357828292
Region IV-A (CALABARZON),Cavite,Bacoor City,2024,0.045255089,1,0.361294612,0.4688499,0.609451509,0.539150705,192048,494056.7266,864047,812280,REVIEW,5,Valley Fault System,2,3,1,Flood Level 2 (Medium): 0.5 to 1.5 m or stronger flow; design for raised floors and drainage.,Storm Surge 3 (High): >1.5 m or depth x velocity >1.5 m2/s; elevate or avoid exposed coast.,Landslide 1 (Low): build only with ongoing monitoring and good drainage.,"REVIEW: see Risk_Gate_Reasons_ASCII for specific triggers (fault crossing or <=1 km, hydro L3, high quake activity).",High hydro hazard: StormSurge L3,404,0,2.32,51,23.03,0.761641842,0.833333333,0.295343263
