Column,Plain-English Meaning,Source / Origin,Model Role,Interpretation
RISK_avg_mag_50km,Auxiliary or supporting field used for reference or app visualization.,From Project NOAH or PHIVOLCS hazard data,Scenario management / context,Context or reference field
RISK_events_50km_per_year,Auxiliary or supporting field used for reference or app visualization.,From Project NOAH or PHIVOLCS hazard data,Scenario management / context,Context or reference field
RISK_avg_depth_km_50km,Auxiliary or supporting field used for reference or app visualization.,From Project NOAH or PHIVOLCS hazard data,Scenario management / context,Context or reference field
FloodRisk,0–1 measure of flood exposure based on Project NOAH levels (1–3).,Computed internally,Risk pillar (safety and exposure),Higher = safer city
StormSurgeRisk,0–1 measure of storm surge exposure from NOAH data (1–3).,Computed internally,Risk pillar (safety and exposure),Higher = safer city
LandslideRisk,0–1 measure of landslide exposure from NOAH data (1–3).,Computed internally,Risk pillar (safety and exposure),Higher = safer city
RISK_HydroRisk,Hydrometeorological risk combining flood and storm surge exposure.,Computed internally,Risk pillar (safety and exposure),Higher = safer city
EarthquakeRisk,"Risk index from earthquake frequency, magnitude (≥5), and depth (PHIVOLCS data).",Computed internally,Risk pillar (safety and exposure),Higher = safer city
HazardRisk_NoFault,Composite hazard score excluding fault distance (used for safety scoring only).,Computed internally,Risk pillar (safety and exposure),Higher = safer city
PRICE_median_2024_final,Median housing price (in PHP) collected as of early 2024. Used as the base value in amortization and IPR calculations.,From curated real estate dataset (March 2024),Scenario management / context,Context or reference field
price_source_flag,Auxiliary or supporting field used for reference or app visualization.,From project data sources,Scenario management / context,Context or reference field
Amort_20yr,Auxiliary or supporting field used for reference or app visualization.,From project data sources,Scenario management / context,Context or reference field
rate_snapshot_date,Auxiliary or supporting field used for reference or app visualization.,From project data sources,Scenario management / context,Context or reference field
Final_BASE,Auxiliary or supporting field used for reference or app visualization.,From project data sources,Scenario management / context,Context or reference field
