Region,Province,City,EMP_w_2025,months_observed_2025,EMP_w_2026,months_observed_2026,EMP_w_2027,months_observed_2027,EMP_w_2028,months_observed_2028,EMP_w_2029,months_observed_2029
Region III (Central Luzon),Bulacan,Meycauayan City,,,,,,,,,1751.4000000000003,0.0
Region III (Central Luzon),Bulacan,San Jose del Monte City,452535.47856939095,0.0,,,,,,,,
Region III (Central Luzon),Bulacan,San Jose del Monte City,,,462476.6552891221,0.0,,,,,,
Region III (Central Luzon),Bulacan,San Jose del Monte City,,,,,463768.4822767442,0.0,,,,
Region III (Central Luzon),Bulacan,San Jose del Monte City,,,,,,,467630.0969728579,0.0,,
Region III (Central Luzon),Bulacan,San Jose del Monte City,,,,,,,,,478191.3088834607,0.0
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,317573.3525040838,0.0,,,,,,,,
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,,,365666.38309202297,0.0,,,,,,
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,,,,,412723.0477115758,0.0,,,,
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,,,,,,,442173.6069783442,0.0,,
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,,,,,,,,,462207.41458000545,0.0
Region III (Central Luzon),Nueva Ecija,Gapan City,1708.6841846759642,0.0,,,,,,,,
Region III (Central Luzon),Nueva Ecija,Gapan City,,,661.0571731785597,0.0,,,,,,
Region III (Central Luzon),Nueva Ecija,Gapan City,,,,,255.75035464713469,0.0,,,,
Region III (Central Luzon),Nueva Ecija,Gapan City,,,,,,,98.94491211347548,0.0,,
Region III (Central Luzon),Nueva Ecija,Gapan City,,,,,,,,,38.27989074209122,0.0
Region III (Central Luzon),Nueva Ecija,Palayan City,0.21084543136090805,0.0,,,,,,,,
Region III (Central Luzon),Nueva Ecija,Palayan City,,,0.0025274163100021925,0.0,,,,,,
Region III (Central Luzon),Nueva Ecija,Palayan City,,,,,3.0296284642425786e-05,0.0,,,,
Region III (Central Luzon),Nueva Ecija,Palayan City,,,,,,,3.631633061409198e-07,0.0,,
Region III (Central Luzon),Nueva Ecija,Palayan City,,,,,,,,,4.3532594337495994e-09,0.0
Region III (Central Luzon),Nueva Ecija,San Jose City,200.5908211481809,0.0,,,,,,,,
Region III (Central Luzon),Nueva Ecija,San Jose City,,,30.29317784040344,0.0,,,,,,
Region III (Central Luzon),Nueva Ecija,San Jose City,,,,,4.574868473131185,0.0,,,,
Region III (Central Luzon),Nueva Ecija,San Jose City,,,,,,,0.6908955427758108,0.0,,
Region III (Central Luzon),Nueva Ecija,San Jose City,,,,,,,,,0.10433887964887807,0.0
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,79680.79824632425,0.0,,,,,,,,
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,,,184303.45163644073,0.0,,,,,,
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,,,,,240639.1536325201,0.0,,,,
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,,,,,,,243690.20609893827,0.0,,
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,,,,,,,,,250747.35804847578,0.0
Region III (Central Luzon),Pampanga,Angeles City,371448.99219952454,0.0,,,,,,,,
Region III (Central Luzon),Pampanga,Angeles City,,,390442.326142645,0.0,,,,,,
Region III (Central Luzon),Pampanga,Angeles City,,,,,410406.84789849515,0.0,,,,
Region III (Central Luzon),Pampanga,Angeles City,,,,,,,431392.2172988043,0.0,,
Region III (Central Luzon),Pampanga,Angeles City,,,,,,,,,453450.6334358394,0.0
Region III (Central Luzon),Pampanga,Mabalacat City,182440.64909883254,0.0,,,,,,,,
Region III (Central Luzon),Pampanga,Mabalacat City,,,219173.44863670677,0.0,,,,,,
Region III (Central Luzon),Pampanga,Mabalacat City,,,,,263302.07015040977,0.0,,,,
Region III (Central Luzon),Pampanga,Mabalacat City,,,,,,,316315.5965137303,0.0,,
Region III (Central Luzon),Pampanga,Mabalacat City,,,,,,,,,363564.5270708177,0.0
Region III (Central Luzon),Pampanga,San Fernando City,174968.02876993536,0.0,,,,,,,,
Region III (Central Luzon),Pampanga,San Fernando City,,,177297.65376686968,0.0,,,,,,
Region III (Central Luzon),Pampanga,San Fernando City,,,,,179658.29673128357,0.0,,,,
Region III (Central Luzon),Pampanga,San Fernando City,,,,,,,182050.3706542412,0.0,,
Region III (Central Luzon),Pampanga,San Fernando City,,,,,,,,,184474.2940256072,0.0
Region III (Central Luzon),Tarlac,Tarlac City,121764.8544793339,0.0,,,,,,,,
Region III (Central Luzon),Tarlac,Tarlac City,,,111877.3542223453,0.0,,,,,,
Region III (Central Luzon),Tarlac,Tarlac City,,,,,102792.73474528275,0.0,,,,
Region III (Central Luzon),Tarlac,Tarlac City,,,,,,,94445.80084915562,0.0,,
Region III (Central Luzon),Tarlac,Tarlac City,,,,,,,,,86776.65128904168,0.0
Region III (Central Luzon),Zambales,Olongapo City,116505.51530422152,0.0,,,,,,,,
Region III (Central Luzon),Zambales,Olongapo City,,,107529.40109346602,0.0,,,,,,
Region III (Central Luzon),Zambales,Olongapo City,,,,,99244.84750208668,0.0,,,,
Region III (Central Luzon),Zambales,Olongapo City,,,,,,,91598.57355804567,0.0,,
Region III (Central Luzon),Zambales,Olongapo City,,,,,,,,,84541.40329745873,0.0
Region IV-A (CALABARZON),Batangas,Batangas City,26830.94690346436,0.0,,,,,,,,
Region IV-A (CALABARZON),Batangas,Batangas City,,,10085.987886639472,0.0,,,,,,
Region IV-A (CALABARZON),Batangas,Batangas City,,,,,6283.8,0.0,,,,
Region IV-A (CALABARZON),Batangas,Batangas City,,,,,,,6283.8,0.0,,
Region IV-A (CALABARZON),Batangas,Batangas City,,,,,,,,,6283.8,0.0
Region IV-A (CALABARZON),Batangas,Lipa City,263699.7841456363,0.0,,,,,,,,
Region IV-A (CALABARZON),Batangas,Lipa City,,,284866.46323846147,0.0,,,,,,
Region IV-A (CALABARZON),Batangas,Lipa City,,,,,307732.1513208852,0.0,,,,
Region IV-A (CALABARZON),Batangas,Lipa City,,,,,,,332433.22460639285,0.0,,
Region IV-A (CALABARZON),Batangas,Lipa City,,,,,,,,,359117.00596720906,0.0
Region IV-A (CALABARZON),Batangas,Tanauan City,0.0002162357525596516,0.0,,,,,,,,
Region IV-A (CALABARZON),Batangas,Tanauan City,,,1.7693698256219414e-06,0.0,,,,,,
Region IV-A (CALABARZON),Batangas,Tanauan City,,,,,1.4478038634974493e-08,0.0,,,,
Region IV-A (CALABARZON),Batangas,Tanauan City,,,,,,,1.184679424733232e-10,0.0,,
Region IV-A (CALABARZON),Batangas,Tanauan City,,,,,,,,,9.693753240828655e-13,0.0
Region IV-A (CALABARZON),Cavite,Bacoor City,87447.13028101432,0.0,,,,,,,,
Region IV-A (CALABARZON),Cavite,Bacoor City,,,75305.47385109095,0.0,,,,,,
Region IV-A (CALABARZON),Cavite,Bacoor City,,,,,64849.633987000656,0.0,,,,
Region IV-A (CALABARZON),Cavite,Bacoor City,,,,,,,55845.542338181906,0.0,,
Region IV-A (CALABARZON),Cavite,Bacoor City,,,,,,,,,48091.629933807,0.0
Region IV-A (CALABARZON),Cavite,Cavite City,458679.0504060032,0.0,,,,,,,,
Region IV-A (CALABARZON),Cavite,Cavite City,,,607545.4,0.0,,,,,,
Region IV-A (CALABARZON),Cavite,Cavite City,,,,,607545.4,0.0,,,,
Region IV-A (CALABARZON),Cavite,Cavite City,,,,,,,607545.4,0.0,,
Region IV-A (CALABARZON),Cavite,Cavite City,,,,,,,,,607545.4,0.0
Region IV-A (CALABARZON),Cavite,City of Carmona,179099.9901690485,0.0,,,,,,,,
Region IV-A (CALABARZON),Cavite,City of Carmona,,,283179.73752462136,0.0,,,,,,
Region IV-A (CALABARZON),Cavite,City of Carmona,,,,,365397.3569082325,0.0,,,,
Region IV-A (CALABARZON),Cavite,City of Carmona,,,,,,,433053.7923337485,0.0,,
Region IV-A (CALABARZON),Cavite,City of Carmona,,,,,,,,,464769.56401837297,0.0
Region IV-A (CALABARZON),Cavite,Dasmarinas City,162357.1244287775,0.0,,,,,,,,
Region IV-A (CALABARZON),Cavite,Dasmarinas City,,,150881.5415426391,0.0,,,,,,
Region IV-A (CALABARZON),Cavite,Dasmarinas City,,,,,140263.086695042,0.0,,,,
Region IV-A (CALABARZON),Cavite,Dasmarinas City,,,,,,,130408.9444744539,0.0,,
Region IV-A (CALABARZON),Cavite,Dasmarinas City,,,,,,,,,121264.09992811664,0.0
Region IV-A (CALABARZON),Cavite,General Trias City,821588.1295944522,0.0,,,,,,,,
Region IV-A (CALABARZON),Cavite,General Trias City,,,933001.297917755,0.0,,,,,,
Region IV-A (CALABARZON),Cavite,General Trias City,,,,,961293.1674075746,0.0,,,,
Region IV-A (CALABARZON),Cavite,General Trias City,,,,,,,962007.0860257414,0.0,,
Region IV-A (CALABARZON),Cavite,General Trias City,,,,,,,,,963630.631556217,0.0
Region IV-A (CALABARZON),Cavite,Imus City,51095.85450453055,0.0,,,,,,,,
Region IV-A (CALABARZON),Cavite,Imus City,,,25331.458186150106,0.0,,,,,,
Region IV-A (CALABARZON),Cavite,Imus City,,,,,14960.209113280167,0.0,,,,
Region IV-A (CALABARZON),Cavite,Imus City,,,,,,,12739.122903899859,0.0,,
Region IV-A (CALABARZON),Cavite,Imus City,,,,,,,,,12566.4,0.0
Region IV-A (CALABARZON),Cavite,Tagaytay City,203.83142114832876,0.0,,,,,,,,
Region IV-A (CALABARZON),Cavite,Tagaytay City,,,4.197115663335118,0.0,,,,,,
Region IV-A (CALABARZON),Cavite,Tagaytay City,,,,,0.0864232795521449,0.0,,,,
Region IV-A (CALABARZON),Cavite,Tagaytay City,,,,,,,0.0017795514461979754,0.0,,
Region IV-A (CALABARZON),Cavite,Tagaytay City,,,,,,,,,3.664294349943715e-05,0.0
Region IV-A (CALABARZON),Cavite,Trece Martires City,3494.6534754717413,0.0,,,,,,,,
Region IV-A (CALABARZON),Cavite,Trece Martires City,,,1445.3946075619263,0.0,,,,,,
Region IV-A (CALABARZON),Cavite,Trece Martires City,,,,,597.8176623898538,0.0,,,,
Region IV-A (CALABARZON),Cavite,Trece Martires City,,,,,,,247.2583996062527,0.0,,
Region IV-A (CALABARZON),Cavite,Trece Martires City,,,,,,,,,102.26649365199971,0.0
Region IV-A (CALABARZON),Laguna,Binan City,73193.1077480982,0.0,,,,,,,,
Region IV-A (CALABARZON),Laguna,Binan City,,,55573.591989663866,0.0,,,,,,
Region IV-A (CALABARZON),Laguna,Binan City,,,,,42274.523137750184,0.0,,,,
Region IV-A (CALABARZON),Laguna,Binan City,,,,,,,33604.46374287149,0.0,,
Region IV-A (CALABARZON),Laguna,Binan City,,,,,,,,,28771.711077388743,0.0
Region IV-A (CALABARZON),Laguna,Cabuyao City,575905.313064743,0.0,,,,,,,,
Region IV-A (CALABARZON),Laguna,Cabuyao City,,,613209.2166626671,0.0,,,,,,
Region IV-A (CALABARZON),Laguna,Cabuyao City,,,,,657390.1227850796,0.0,,,,
Region IV-A (CALABARZON),Laguna,Cabuyao City,,,,,,,661680.5999999999,0.0,,
Region IV-A (CALABARZON),Laguna,Cabuyao City,,,,,,,,,661680.5999999999,0.0
Region IV-A (CALABARZON),Laguna,Calamba City,326393.49963989283,0.0,,,,,,,,
Region IV-A (CALABARZON),Laguna,Calamba City,,,370655.5569172627,0.0,,,,,,
Region IV-A (CALABARZON),Laguna,Calamba City,,,,,415669.3363284042,0.0,,,,
Region IV-A (CALABARZON),Laguna,Calamba City,,,,,,,453885.48190654116,0.0,,
Region IV-A (CALABARZON),Laguna,Calamba City,,,,,,,,,474925.3064569817,0.0
Region IV-A (CALABARZON),Laguna,San Pablo City,52942.589539148,0.0,,,,,,,,
Region IV-A (CALABARZON),Laguna,San Pablo City,,,51105.57062520334,0.0,,,,,,
Region IV-A (CALABARZON),Laguna,San Pablo City,,,,,49332.29318139768,0.0,,,,
Region IV-A (CALABARZON),Laguna,San Pablo City,,,,,,,47620.54548580226,0.0,,
Region IV-A (CALABARZON),Laguna,San Pablo City,,,,,,,,,45968.192559523646,0.0
Region IV-A (CALABARZON),Laguna,San Pedro City,3793.714096483116,0.0,,,,,,,,
Region IV-A (CALABARZON),Laguna,San Pedro City,,,3121.7999999999997,0.0,,,,,,
Region IV-A (CALABARZON),Laguna,San Pedro City,,,,,3121.7999999999997,0.0,,,,
Region IV-A (CALABARZON),Laguna,San Pedro City,,,,,,,3121.7999999999997,0.0,,
Region IV-A (CALABARZON),Laguna,San Pedro City,,,,,,,,,3121.7999999999997,0.0
Region IV-A (CALABARZON),Laguna,Santa Rosa City,267662.261492355,0.0,,,,,,,,
Region IV-A (CALABARZON),Laguna,Santa Rosa City,,,331404.10976772953,0.0,,,,,,
Region IV-A (CALABARZON),Laguna,Santa Rosa City,,,,,394833.12652960554,0.0,,,,
Region IV-A (CALABARZON),Laguna,Santa Rosa City,,,,,,,465647.1697320067,0.0,,
Region IV-A (CALABARZON),Laguna,Santa Rosa City,,,,,,,,,516603.8402156985,0.0
Region IV-A (CALABARZON),Quezon,Lucena City,128696.13012105956,0.0,,,,,,,,
Region IV-A (CALABARZON),Quezon,Lucena City,,,130296.81498128023,0.0,,,,,,
Region IV-A (CALABARZON),Quezon,Lucena City,,,,,131917.40869205716,0.0,,,,
Region IV-A (CALABARZON),Quezon,Lucena City,,,,,,,133558.1588738558,0.0,,
Region IV-A (CALABARZON),Quezon,Lucena City,,,,,,,,,135219.31622697305,0.0
Region IV-A (CALABARZON),Quezon,Tayabas City,8519.610239929028,0.0,,,,,,,,
Region IV-A (CALABARZON),Quezon,Tayabas City,,,5000.9118723244155,0.0,,,,,,
Region IV-A (CALABARZON),Quezon,Tayabas City,,,,,2998.0228902987515,0.0,,,,
Region IV-A (CALABARZON),Quezon,Tayabas City,,,,,,,1872.3495059439374,0.0,,
Region IV-A (CALABARZON),Quezon,Tayabas City,,,,,,,,,1313.6467195661176,0.0
Region IV-A (CALABARZON),Rizal,Antipolo City,48968.63816188406,0.0,,,,,,,,
Region IV-A (CALABARZON),Rizal,Antipolo City,,,36803.400024484064,0.0,,,,,,
Region IV-A (CALABARZON),Rizal,Antipolo City,,,,,34814.40000000001,0.0,,,,
Region IV-A (CALABARZON),Rizal,Antipolo City,,,,,,,34814.40000000001,0.0,,
Region IV-A (CALABARZON),Rizal,Antipolo City,,,,,,,,,34814.40000000001,0.0
