HARVARD MULTILAND REALTY CORP.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
SUBJECT :,BILL OF QUATITIES [ UNIT : BERN ],,,,,,,,,,,,,,
NO.,SCOPE OF WORKS,,,,,MATERIALS,,LABOR,,TOTAL,GRAND,,,,
,,,,UNIT,QTY,UNIT,TOTAL,UNIT,TOTAL,UNIT,TOTAL,,,,
,,,,,,COST,COST,COST,COST,COST,COST,,,,
h.,"2x12x4"" Wood Flange",,,pcs,10,900,9000,180,1800,1080,10800,,,,
i.,4x8 Marine Plywood,,,pcs,12,850,10200,170,2040,1020,12240,,,,
,TOTAL CARPENTRY WORKS COST,,,,,,87075,,17415,,144647,,,,
8,H A R D W A R E S,,,,,,,,,,,,,,
a.,C.W. Nail #2,,,keg,2,2100,4200,420,840,2520,5040,,,,
b.,C.W. Nail #3,,,keg,3,2100,6300,420,1260,2520,7560,,,,
c.,C.W. Nail #4,,,keg,3,2100,6300,420,1260,2520,7560,,,,
d.,Lever Lockset [YALE],,,pcs,6,1200,7200,240,1440,1440,8640,,,,
e.,Mortise Lockset,,,pcs,1,3500,3500,700,700,4200,4200,,,,
f.,Concealed Hinges #1 [Soft Close],,,pcs,30,60,1800,12,360,72,2160,,,,
h.,Concealed Hinges #2 [Soft Close],,,pcs,20,60,1200,12,240,72,1440,,,,
i.,Door Stopper,,,pcs,7,120,840,24,168,144,1008,,,,
a.,Cabinet Handles S/S #6,,,pcs,20,120,2400,24,480,144,2880,,,,
b.,Full Extension Drawer Guide,,,pcs,20,480,9600,96,1920,576,11520,,,,
c.,Loose Pin Hinges S/S 3x3,,,pcs,20,120,2400,24,480,144,2880,,,,
d.,Black Screw #1,,,pcs,1400,0.5,700,0.1,140,0.6,840,,,,
e.,Black Screw #2,,,pcs,1000,0.6,600,0.12,120,0.72,720,,,,
f.,Dead Bolt Lock,,,pcs,2,550,1100,110,220,660,1320,,,,
,TOTAL HARDWARES COST,,,,,,48140,,9628,,57768,,,,
9,P A I N T I N G,,,,,,,,,,,,,,
a.,Flat Latex,,,pails,3,2302,6906,460.40000000000003,1381.2,2762.4,8287.2,1500,,,
b.,Semi Gloss Latex,,,pails,3,2460,7380,492,1476,2952,8856,1600,,,
c.,Gloss Latex,,,pails,3,1600,4800,320,960,1920,5760,,,,
d.,Conc. Nuetralizer,,,gal.,3,120,360,24,72,144,432,,,,
e.,Plasolux Putty,,,pints,3,1500,4500,300,900,1800,5400,,,,
f.,Tint Color,,,sets,4,120,480,24,96,144,576,,,,
g.,QDE,,,gal.,1,320,320,64,64,384,384,,,,
h.,Miscellaneous,,,lot,1,1000,1000,200,200,1200,1200,,,,
,TOTAL PAINTING WORKS COST,,,,,,25746,,5149.2,,30895.2,,,,
10,F I N I S H E S,,,,,,,,,,,,,,
a.,16x16 Vinyl Tiles,,,pcs,143,18,2574,3.6,514.8000000000001,21.6,3088.8,,,,
b.,12x12 Vinyl Tiles,,,pcs,327,12,3924,2.4000000000000004,784.8000000000001,14.4,4708.8,,,,
c.,2x6 Deco Stones,,,sqm,8,500,4000,100,800,600,4800,,,,
d.,12x12 Floor Tiles,,,pcs,75,28,2100,5.6000000000000005,420.00000000000006,33.6,2520,,,,
e.,12x12 Wall Tiles,,,pcs,150,26,3900,5.2,780,31.2,4680,,,,
,TOTAL FINISHES WORKS COST,,,,,,16498,,3299.6000000000004,,19797.6,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
HARVARD MULTILAND REALTY CORP.,,,,,,,,,,,,,,,
BILL OF QUANTITIES,,,,,,,,,,,,,,,
PROJECT :,MONTVILLE PLACE : SAUYO [PROPOSED TOWNHOUSES],,,,,,,,,,2009-12-10 00:00:00,,,,
LOCATION :,"LINUM ST., SAUYO ROAD, SAUYO, QUEZON CITY",,,,,,,,,,2  OF  8,,,,
SUBJECT :,BILL OF QUATITIES [ UNIT : BERN ],,,,,,,,,,,,,,
NO.,SCOPE OF WORKS,,,,,MATERIALS,,LABOR,,TOTAL,GRAND,,,,
,,,,UNIT,QTY,UNIT,TOTAL,UNIT,TOTAL,UNIT,TOTAL,,,,
,,,,,,COST,COST,COST,COST,COST,COST,,,,
11,D O O R S  &  W I N D O W S,,,,,,,,,,,,,,
a.,DOORS,,,,,,,,,,,,,,
,"a.1. 50 x 900 x 2100mm, Panel Door",,,set,1,7200,7200,1440,1440,8640,8640,,,,
,"a.2. 50 x 600 x 2100mm, PVC Door",,,set,3,3000,9000,600,1800,3600,10800,,,,
,"a.3. 50 x 800 x 2100mm, Flush Door",,,set,3,2000,6000,400,1200,2400,7200,,,,
,a.4. Powder Coated White Finish Aluminum Patio Door,,,set,0,9300,0,1860,0,11160,0,,,,
b.,WINDOWS,,,,,,,,,,,,,,
,b.1. 1200 x 1200mm Aluminum Sliding Window,,,set,1,5600,5600,1120,1120,6720,6720,,,,
,b.2. 1200 x 1000mm Aluminum Fixed Window,,,set,0,2500,0,500,0,3000,0,,,,
,b.3. 1200 x 1000mm Aluminum Sliding Window,,,set,2,5600,11200,1120,2240,6720,13440,,,,
,b.4. 600 x 600mm Aluminum Awning Window,,,set,2,2900,5800,580,1160,3480,6960,,,,
,b.5. 1200 x 1700mm Aluminum Sliding Window,,,set,0,6800,0,1360,0,8160,0,,,,
,b.6. 1200 x 600mm Aluminum Casement,,,set,0,4500,0,900,0,5400,0,,,,
,TOTAL DOOR & WINDOWS COST,,,,,,44800,,8960,,53760,,,,
SUMMARY OF COSTS,,,,,,,,,,,,,,,
NO.,S C O P E   O F   W O R K S,,,,,,MATERIALS,,,,,,,,
,,,,,,,,,,,,,,,
1.0.,MASONRY WORKS,,,,,,192894,,,,,,,,
2.0.,FORMWORKS,,,,,,82950,,,,,,,,
3.0.,STEEL WORKS,,,,,,180485,,,,,,,,
4.0.,ROOFING WORKS,,,,,,33805.415,,,,,,,,
5.0.,PLUMBING WORKS,,,,,,22294,,,,,,,,
6.0.,ELECTRICAL WORKS,,,,,,25344,,,,,,,,
7.0.,CARPENTRY WORKS,,,,,,87075,,,,,,,,
8.0.,HARDWARES,,,,,,48140,,,,,,,,
9.0.,PAINTING,,,,,,25746,,,,,,,,
10.0.,FINISHES,,,,,,16498,,,,,,,,
11.0.,DOORS AND WINDOWS,,,,,,44800,,,,,,,,
12.0.,TOTAL MATERIAL COST,,,,,,760031.415,,,,,,,,
13.0.,TOTAL LABOR COST,,,,,,152006.28300000002,,,,,,,,
14.0.,TOTAL PROJECT COST PER UNIT,,,,,,912037.6980000001,,,,,,,,
15.0.,ESTIMATED DIRECT PROJECT COST for 1 units,,,,,,912037.7,,,,,,,,
,,,,,,,,,,,,,,,
,,,,PRC NO.:,,,,,,,,,,,
,,,,TIN NO.:,,,,,,,,,,,
ARCHITECT,,,,PTR NO.:,,,,ARCHITECT,,,,,,,
,,,,DATE:,,,,PRC NO.:,,,,,,,
,,,,PLACE:,,,,,,,,,,,
,,,,,,,,PTR NO.:,,,,,,,
,,,,,,,,DATE:,,,,,,,
,,,,,,,,PLACE:,,,,,,,
