Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,6” diameter PVC Pipe,15,Pcs.,900,13500,66.0
,4” diameter PVC Pipe,15,Pcs.,560,8400,66.0
,2” diameter PVC Pipe,10,Pcs.,210,2100,44.0
,4” diameter ¼ Bend,40,Pcs.,96,3840,176.0
,4” diameter 1/8 Bend,20,Pcs.,96,1920,88.0
,4” WYE,13,Pcs.,165,2145,57.2
,4” TEE,26,Pcs.,165,4290,114.4
,2” diameter ¼ Bend,25,Pcs.,25,625,110.00000000000001
,2” diameter ½ Bend,25,Pcs.,25,625,110.00000000000001
,2” diameter WYE,9,Pcs.,38,342,39.6
,4” diameter x2” diameter WYE,26,Pcs.,97,2522,114.4
,4” diameter Coupling,26,Pcs.,65,1690,114.4
,2” diameter Coupling,26,Pcs.,25,650,114.4
,,,,,,
,,,,,44374,
,,,,,,
9,ELECTRICAL,,,,,
,1” x 4” Entrance Cap,4,Set,45,180,17.6
,1” diameter PVC Pipe,4,Pc,280,1120,17.6
,Meter Base,4,Set,270,1080,17.6
,1” diameter PVC Conduit Pipe,13,Pcs.,100,1300,57.2
,1” diameter PVC Conduit Bend,9,Pcs.,60,540,39.6
,4x4x2 Full Box,9,Pcs.,25,225,39.6
,100 Amp. Main Circ. Brkr With 8 branches,2,Set,3630,7260,8.8
,32 watts Circline,26,Sets,180,4680,114.4
,18 watts Pinlight,31,Sets,115,3565,136.4
,1 gang switch,26,Sets,65,1690,114.4
,2 gang switch,18,Sets,95,1710,79.2
,Convenience Outlet,70,Sets,75,5250,308.0
,3 prong outlet,22,Sets,75,1650,96.80000000000001
,#8 THHN Stranded Wire,86,Mts.,80,6880,378.40000000000003
,#10 THHN Stranded Wire,90,Mts.,50,4500,396.00000000000006
,#12 THHN Stranded Wire,1,Box,3800,3800,4.4
,#14 THHN Stranded Wire,1,Box,2800,2800,4.4
,2x2x4 Utility Box,50,Pcs.,12,600,220.00000000000003
,2x2x4 Junction Box,32,Pcs.,12,384,140.8
,Electrical Tape,12,Pcs.,22,264,52.800000000000004
,1” diameter Moldflex,4,Roll,1000,4000,17.6
,¾ diameter Moldflex,9,Rolls,700,6300,39.6
,,,,,,
,,,,,59778,
,,,,,,
10,PAINTING,,,,,
,Flat Latex,5,Pails,1900,9500,22.0
,Semi Gloss Latex,5,Pails,1900,9500,22.0
,Gloss Latex,5,Pails,1600,8000,22.0
,Conc. Neutralizer,5,Gals,120,600,22.0
,Plasolux Putty,5,Pints,1500,7500,22.0
,Tint Color,5,Sets,120,600,22.0
,Q.D.E,4,Gal,320,1280,17.6
,Miscellaneous,4,Lot,1000,4000,17.6
,,,,,,
,,,,,40980,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
SUMMARY OF BILL OF MATERIALS,,,,,,
MASONRY WORKS,,,454686,,,
ROOF FRAMING,,,48120,,,
ROOFING,,,169500,,,
CARPENTRY,,,90900,,,
TOILET AND BATH,,,39185,,,
STEEL WORKS,,,114600,,,
PLUMBING,,,14836,,,
SANITARY,,,44374,,,
ELECTRICAL,,,59778,,,
PAINTING,,,40980,,,
CONTIGENCY,,,53847.950000000004,,,1076959.0
,,,,,,
ESTIMATED TOTAL COST OF MATERIALS,,,1130806.95,,,
ESTIMATED TOTAL COST OF LABOR,,,215391.80000000002,,,
ESTIMATED DIRECT PROJECT COST,,,1346198.75,,,
,,,,,,
,,,,,,
PREPARED BY:,,,,,,
