RDMD_ID,Region,Household Unique Sequential Number,Final Weight Based on Projection (provincial projections),Survey Month,Survey Year,Psu Number,Household Size,C09-Work Indicator,"C11 - Location of Work (Province, Municipality)"
357,1,93,1498.3592,12,2023,728,7,1,2805
358,1,93,2073.3519,12,2023,728,7,1,2805
359,1,93,1620.4243,12,2023,728,7,1,2819
360,1,93,1472.744,12,2023,728,7,2,N/A
361,1,93,1684.9725,12,2023,728,7,N/A,N/A
362,1,94,1575.4281,12,2023,728,3,1,2819
363,1,94,1575.4281,12,2023,728,3,1,2819
364,1,94,1165.5245,12,2023,728,3,2,N/A
365,1,95,1592.5682,12,2023,728,9,1,2819
366,1,95,1877.4105,12,2023,728,9,1,2819
367,1,95,1472.744,12,2023,728,9,1,2819
368,1,95,1472.744,12,2023,728,9,1,2819
369,1,95,1165.5245,12,2023,728,9,1,2819
370,1,95,1877.4105,12,2023,728,9,N/A,N/A
371,1,95,1592.5682,12,2023,728,9,1,2819
372,1,95,1472.744,12,2023,728,9,1,2819
373,1,95,1472.744,12,2023,728,9,N/A,N/A
374,1,96,1148.2403,12,2023,728,1,2,N/A
375,1,97,1592.5682,12,2023,728,2,1,2819
376,1,97,1877.4105,12,2023,728,2,1,2819
377,1,98,1575.4281,12,2023,728,3,1,2819
378,1,98,1877.4105,12,2023,728,3,1,2819
379,1,98,1472.744,12,2023,728,3,2,N/A
380,1,99,1575.4281,12,2023,728,3,1,2819
381,1,99,1498.3592,12,2023,728,3,1,2819
382,1,99,1956.3204,12,2023,728,3,2,N/A
383,1,100,1615.5947,12,2023,659,6,1,2909
384,1,100,1384.6674,12,2023,659,6,1,2909
385,1,100,1877.9189,12,2023,659,6,2,N/A
386,1,100,1759.9876,12,2023,659,6,1,2909
387,1,100,2502.3341,12,2023,659,6,2,N/A
388,1,100,2541.4819,12,2023,659,6,N/A,N/A
389,1,101,1545.2431,12,2023,659,5,2,N/A
390,1,101,1261.9671,12,2023,659,5,2,N/A
391,1,101,1928.1355,12,2023,659,5,2,N/A
392,1,101,2237.0354,12,2023,659,5,2,N/A
393,1,101,1617.617,12,2023,659,5,2,N/A
394,1,102,1384.6674,12,2023,659,3,1,2909
395,1,102,2237.7943,12,2023,659,3,1,2909
396,1,102,1617.617,12,2023,659,3,2,N/A
397,1,103,1306.9493,12,2023,659,2,1,2909
398,1,103,1617.617,12,2023,659,2,1,2909
399,1,104,1545.2431,12,2023,659,4,1,2909
400,1,104,1261.9671,12,2023,659,4,1,2909
401,1,104,1877.9189,12,2023,659,4,2,N/A
402,1,104,1877.9189,12,2023,659,4,2,N/A
403,1,105,1306.9493,12,2023,659,4,1,2909
404,1,105,1261.9671,12,2023,659,4,1,2909
405,1,105,2237.0354,12,2023,659,4,2,N/A
406,1,105,1877.9189,12,2023,659,4,2,N/A
407,1,106,1384.6674,12,2023,659,4,1,2917
408,1,106,2502.3341,12,2023,659,4,1,101
409,1,106,2609.2536,12,2023,659,4,2,N/A
410,1,106,2609.2536,12,2023,659,4,2,N/A
411,1,107,2237.0354,12,2023,659,2,1,2909
412,1,107,1928.1355,12,2023,659,2,N/A,N/A
413,1,108,1306.9493,12,2023,659,6,1,2909
414,1,108,2609.2536,12,2023,659,6,2,N/A
415,1,108,1615.5947,12,2023,659,6,2,N/A
416,1,108,1261.9671,12,2023,659,6,1,2909
417,1,108,1261.9671,12,2023,659,6,1,2909
418,1,108,1928.1355,12,2023,659,6,2,N/A
419,1,109,1545.2431,12,2023,659,2,1,2909
420,1,109,1615.5947,12,2023,659,2,1,2909
421,1,110,1384.6674,12,2023,659,4,1,2909
422,1,110,1928.1355,12,2023,659,4,N/A,N/A
423,1,110,2541.4819,12,2023,659,4,2,N/A
424,1,110,2541.4819,12,2023,659,4,2,N/A
425,1,111,1407.2434,12,2023,509,5,1,2911
426,1,111,2543.133,12,2023,509,5,1,2911
427,1,111,1643.9912,12,2023,509,5,2,N/A
428,1,111,1908.5372,12,2023,509,5,2,N/A
429,1,111,1908.5372,12,2023,509,5,2,N/A
430,1,112,1641.9359,12,2023,509,2,2,N/A
431,1,112,1407.2434,12,2023,509,2,2,N/A
432,1,113,1570.4372,12,2023,509,2,2,N/A
433,1,113,1282.5427,12,2023,509,2,2,N/A
434,1,114,1570.4372,12,2023,509,7,2,N/A
435,1,114,1641.9359,12,2023,509,7,2,N/A
436,1,114,1788.683,12,2023,509,7,1,2911
437,1,114,2274.28,12,2023,509,7,1,2911
438,1,114,1643.9912,12,2023,509,7,1,2911
439,1,114,2582.9191,12,2023,509,7,2,N/A
440,1,114,2582.9191,12,2023,509,7,2,N/A
441,1,115,1788.683,12,2023,509,2,1,2911
442,1,115,2274.28,12,2023,509,2,N/A,N/A
443,1,116,1328.2583,12,2023,509,3,1,2911
444,1,116,1282.5427,12,2023,509,3,2,N/A
445,1,116,2651.7958,12,2023,509,3,1,2911
446,1,117,2273.5088,12,2023,509,4,1,2911
447,1,117,2543.133,12,2023,509,4,1,2911
448,1,117,1908.5372,12,2023,509,4,2,N/A
449,1,117,2582.9191,12,2023,509,4,2,N/A
450,1,118,1407.2434,12,2023,509,3,1,2911
451,1,118,2543.133,12,2023,509,3,N/A,N/A
452,1,118,1643.9912,12,2023,509,3,2,N/A
453,1,119,1328.2583,12,2023,509,2,1,2911
454,1,119,2274.28,12,2023,509,2,1,2911
455,1,120,1328.2583,12,2023,509,3,2,N/A
456,1,120,1641.9359,12,2023,509,3,2,N/A
457,1,120,1959.5724,12,2023,509,3,1,2911
458,1,121,1328.2583,12,2023,509,4,1,2911
459,1,121,1282.5427,12,2023,509,4,1,2911
460,1,121,2651.7958,12,2023,509,4,2,N/A
461,1,121,1407.2434,12,2023,509,4,1,2917
462,1,122,1407.2434,12,2023,509,6,1,2911
463,1,122,1959.5724,12,2023,509,6,1,2911
464,1,122,2582.9191,12,2023,509,6,2,N/A
465,1,122,2582.9191,12,2023,509,6,2,N/A
466,1,122,1643.9912,12,2023,509,6,2,N/A
467,1,122,1908.5372,12,2023,509,6,N/A,N/A
468,1,123,1328.2583,12,2023,509,14,1,2911
469,1,123,2274.28,12,2023,509,14,1,2911
470,1,123,2273.5088,12,2023,509,14,1,2911
471,1,123,2651.7958,12,2023,509,14,1,2911
472,1,123,1643.9912,12,2023,509,14,2,N/A
473,1,123,1959.5724,12,2023,509,14,1,2911
474,1,123,2582.9191,12,2023,509,14,2,N/A
475,1,123,2273.5088,12,2023,509,14,1,2911
476,1,123,1959.5724,12,2023,509,14,N/A,N/A
477,1,123,2582.9191,12,2023,509,14,N/A,N/A
478,1,123,1959.5724,12,2023,509,14,2,N/A
479,1,123,1908.5372,12,2023,509,14,2,N/A
480,1,123,1908.5372,12,2023,509,14,2,N/A
481,1,123,1908.5372,12,2023,509,14,N/A,N/A
482,1,124,1570.4372,12,2023,509,2,2,N/A
483,1,124,1407.2434,12,2023,509,2,1,2911
484,1,125,1407.2434,12,2023,509,2,1,2911
485,1,125,1643.9912,12,2023,509,2,2,N/A
486,1,126,1328.2583,12,2023,509,5,1,2911
487,1,126,1282.5427,12,2023,509,5,1,2911
488,1,126,2273.5088,12,2023,509,5,N/A,N/A
489,1,126,1959.5724,12,2023,509,5,1,2911
490,1,126,1908.5372,12,2023,509,5,N/A,N/A
491,1,127,1788.683,12,2023,509,5,1,2911
492,1,127,2543.133,12,2023,509,5,1,2911
493,1,127,1643.9912,12,2023,509,5,2,N/A
494,1,127,2582.9191,12,2023,509,5,2,N/A
495,1,127,2651.7958,12,2023,509,5,2,N/A
496,1,128,1788.683,12,2023,509,5,1,2911
497,1,128,2274.28,12,2023,509,5,2,N/A
498,1,128,1643.9912,12,2023,509,5,2,N/A
499,1,128,2651.7958,12,2023,509,5,2,N/A
500,1,128,1641.9359,12,2023,509,5,2,N/A
501,1,129,1570.4372,12,2023,509,8,1,2911
502,1,129,1282.5427,12,2023,509,8,1,2911
503,1,129,1407.2434,12,2023,509,8,2,N/A
504,1,129,1788.683,12,2023,509,8,1,2911
505,1,129,2274.28,12,2023,509,8,N/A,N/A
506,1,129,1908.5372,12,2023,509,8,2,N/A
507,1,129,1908.5372,12,2023,509,8,2,N/A
508,1,129,1908.5372,12,2023,509,8,2,N/A
509,1,130,1788.683,12,2023,509,1,1,2911
510,1,131,1686.1449,12,2023,209,2,2,N/A
511,1,131,2719.7906,12,2023,209,2,2,N/A
512,1,132,2332.5949,12,2023,209,3,1,2912
513,1,132,2009.8179,12,2023,209,3,1,2912
514,1,132,2719.7906,12,2023,209,3,N/A,N/A
515,1,133,2331.8039,12,2023,209,2,1,2912
516,1,133,1957.4741,12,2023,209,2,2,N/A
517,1,134,1362.3162,12,2023,209,2,1,2912
518,1,134,1315.4284,12,2023,209,2,2,N/A
519,1,135,1834.5467,12,2023,209,3,1,2912
520,1,135,2332.5949,12,2023,209,3,1,2912
